asian/pacific islander,black,hispanic,white,county,type
0.476044226044226,0.5626503389459874,0.582364768770536,0.6017884843507619,Hays County,pct_spd_over_lmt
0.004008016032064128,0.006349952963311383,0.005466530896618254,0.005281003975368306,Hays County,pct_srch
0.3333333333333333,0.25925925925925924,0.12745098039215685,0.06642066420664207,Hays County,pct_contraband_srch
0.019996069568635158,0.0562174511152599,0.2505281517146507,0.6732583276014542,Hays County,pct_stopped
0.5559440559440559,0.6386946386946387,0.6236003445305771,0.6568286521028385,Wilson County,pct_spd_over_lmt
0.004016064257028112,0.0012987012987012987,0.0032124500285551113,0.004010695187165776,Wilson County,pct_srch
0.0,0.0,0.06666666666666667,0.07317073170731707,Wilson County,pct_contraband_srch
0.005508050227255219,0.03312533703104537,0.31314998844464986,0.6482166242970495,Wilson County,pct_stopped
0.6360917248255235,0.6868106617647058,0.6096296296296296,0.6771544777837465,Tarrant County,pct_spd_over_lmt
0.0,0.004685777287761852,0.0015723270440251573,0.0017943656917279742,Tarrant County,pct_srch
,0.11764705882352941,0.0,0.125,Tarrant County,pct_contraband_srch
0.02723915050784857,0.1182445277279887,0.14665145836728044,0.7078648633968823,Tarrant County,pct_stopped
0.6477572559366754,0.7429522752497225,0.7284164859002169,0.7890194844596264,Gregg County,pct_spd_over_lmt
0.012711864406779662,0.021091422298886622,0.01728276524243879,0.005625540917395903,Gregg County,pct_srch
0.1111111111111111,0.06691449814126393,0.041666666666666664,0.05128205128205128,Gregg County,pct_contraband_srch
0.01194641449960599,0.2132072498029945,0.07275019700551616,0.7020961386918834,Gregg County,pct_stopped
0.57991513437058,0.6220865704772475,0.6513949013949014,0.6811519859299429,Jackson County,pct_spd_over_lmt
0.0030441400304414,0.0076605774896876845,0.012876675959113236,0.0051087545475656014,Jackson County,pct_srch
0.0,0.07692307692307693,0.030927835051546393,0.07575757575757576,Jackson County,pct_contraband_srch
0.02887364208118925,0.0735930735930736,0.339867679490321,0.5576656048354162,Jackson County,pct_stopped
0.5959183673469388,0.65887648229897,0.6371389270976616,0.6916449554057593,Jasper County,pct_spd_over_lmt
0.0,0.0029225523623964927,0.002847200253084467,0.0012803109767384464,Jasper County,pct_srch
,0.1,0.0,0.03614457831325301,Jasper County,pct_contraband_srch
0.00556134469010511,0.1309464479884016,0.04122870605291772,0.8222635012685756,Jasper County,pct_stopped
0.5463537626066718,0.6594356828666452,0.5740984287395307,0.5937940329596275,Harris County,pct_spd_over_lmt
0.002015059921518719,0.007887217512456609,0.003703032343268509,0.00333528887730048,Harris County,pct_srch
0.0,0.10479041916167664,0.055944055944055944,0.11726384364820847,Harris County,pct_contraband_srch
0.05202233419583276,0.23514962599805306,0.21869152279066484,0.4941365170154493,Harris County,pct_stopped
0.41292134831460675,0.49477806788511747,0.45506057053536536,0.5786525082387404,Gillespie County,pct_spd_over_lmt
0.0060790273556231,0.006993006993006993,0.00978723404255319,0.003614317360382418,Gillespie County,pct_srch
0.0,0.0,0.06521739130434782,0.08602150537634409,Gillespie County,pct_contraband_srch
0.01060976336651368,0.022828872861655837,0.152530249746677,0.8140311140251535,Gillespie County,pct_stopped
0.5724731182795699,0.696078431372549,0.6767980740294914,0.7731148218078829,Cooke County,pct_spd_over_lmt
0.0009182736455463728,0.006170662905500705,0.0036136662286465177,0.0010449483764309554,Cooke County,pct_srch
0.0,0.2,0.13636363636363635,0.07462686567164178,Cooke County,pct_contraband_srch
0.02808174505398942,0.07272266106239583,0.0802956735995362,0.8188999202840785,Cooke County,pct_stopped
0.695906432748538,0.7400875843295065,0.7189973614775725,0.8037065052950075,Panola County,pct_spd_over_lmt
0.002457002457002457,0.011249828508711757,0.012096774193548387,0.0038065698576060904,Panola County,pct_srch
0.0,0.07317073170731707,0.0,0.037037037037037035,Panola County,pct_contraband_srch
0.011729467715383208,0.19329614047923907,0.06932504115602707,0.7256493506493507,Panola County,pct_stopped
0.541161178509532,0.6071428571428571,0.5435046891281695,0.6257460761918797,Galveston County,pct_spd_over_lmt
0.0014211274277593558,0.006079389676957921,0.004248489425981873,0.003409238776837996,Galveston County,pct_srch
0.0,0.11764705882352941,0.26666666666666666,0.15267175572519084,Galveston County,pct_contraband_srch
0.03631873663017491,0.14148420787718635,0.18134201585503965,0.640855039637599,Galveston County,pct_stopped
0.5552913198573127,0.6612535612535613,0.6508941877794336,0.7391188606415546,Madison County,pct_spd_over_lmt
0.0025974025974025974,0.02034001214329083,0.01892109500805153,0.007859949982136478,Madison County,pct_srch
0.0,0.22388059701492538,0.14893617021276595,0.16363636363636364,Madison County,pct_contraband_srch
0.038111206779353785,0.15906104137399737,0.1216748991707074,0.6811528526759415,Madison County,pct_stopped
0.5991525423728814,0.7178693467336683,0.6969868439666148,0.7560474669100867,Harrison County,pct_spd_over_lmt
0.010999083409715857,0.01319090044113831,0.01622047244094488,0.0048610390957171,Harrison County,pct_srch
0.0,0.04918032786885246,0.0,0.04533333333333334,Harrison County,pct_contraband_srch
0.010120849808304242,0.2138158176874716,0.060733675841188425,0.7153296566630357,Harrison County,pct_stopped
0.45857642940490084,0.5856272326118932,0.5564273667228863,0.5896485712780344,Collin County,pct_spd_over_lmt
0.001438618925831202,0.004022159823935645,0.004210700132100396,0.0020798238266876217,Collin County,pct_srch
0.1111111111111111,0.09433962264150944,0.058823529411764705,0.08144796380090498,Collin County,pct_contraband_srch
0.04611028536455776,0.0960339505134948,0.09176995971403014,0.7660858044079173,Collin County,pct_stopped
0.3480916030534351,0.463996399639964,0.5469655081621906,0.4785963623002021,Atascosa County,pct_spd_over_lmt
