variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.3207333941644438,1.37813811224836,1.3369695277823626,1.4205743788205796,1.9507870045501664e-95,0.22285763302047473,1.2496426532212563,1.2092627061852537,1.2913709756882468,2.38102926101615e-40,0.3579564102567362,1.4304032682097232,1.3817244354899434,1.480797080193165,2.738598754955061e-91,0.31885459801452753,1.3755513024740635,1.327390725637833,1.4254592481267243,7.722467400207166e-69,0.27922755621936984,1.322108163576845,1.2764807042156148,1.36936656419781,9.5420353855004e-55,0.32252348968929845,1.3806073205156926,1.3311532828746961,1.4318986385589245,2.8277564375566062e-67,0.2796537418724735,1.3226717471951084,1.2751212560539191,1.3719954416273834,1.1425295564890624e-50,0.4113682383562059,1.5088808820846067,1.4519628276418144,1.5680301678370974,1.2806414537996918e-97,0.37381831995396786,1.4532730957479103,1.3922349682458168,1.5169872464026588,2.263024799482956e-65,0.3991987137105268,1.4906297977571332,1.426001972478585,1.5581866202466563,9.791379451742516e-70,0.35012284048965625,1.4192418782529328,1.3628328868455164,1.4779856932049786,3.206176801514265e-64,0.36769999153580574,1.444408639147822,1.3879648072437512,1.5031478506922036,4.6161845924074937e-73
subject_race_hispanic,0.38089172858746917,1.4635891319681287,1.4308861650220848,1.4970395266783214,2.494190062033648e-239,0.2913811142151644,1.3382745222157106,1.3075928585176533,1.3696761076242214,7.083127026533663e-134,-0.10296706236187918,0.9021566879026668,0.8771821871770389,0.9278422446615934,6.541596565399528e-13,0.25022597952560216,1.2843156129302353,1.255033023799026,1.3142814271319945,2.448699583566687e-100,0.20463753293732187,1.2270802081863519,1.1979452293870063,1.2569237727948104,1.5222753487128869e-62,0.2774803445878823,1.3198001776724093,1.2874789745504467,1.3529327805856703,1.217220219766238e-106,0.384001434632413,1.4681475479325379,1.4327368985385,1.5044333852915026,1.1528433672699672e-208,0.3267196546097564,1.3864127482707165,1.3514663043033606,1.422262843288842,7.606888125417933e-139,-0.007418954748260535,0.9926084977649151,0.9666683468981879,1.0192447420013566,0.5829304875712135,-0.10443510408424309,0.9008332559090901,0.8765364041413457,0.9258035959689747,7.086025715679249e-14,0.02960122564010139,1.0300436970273954,1.0049352617899125,1.0557794697104286,0.01872483318845116,0.006353200710791146,1.0063734250976046,0.9823476442737622,1.0309868167815741,0.606322041087956
subject_race_asian/pacific islander,0.9177138031191255,2.5035602107283585,2.308185570404693,2.7154721912776227,1.3884704531618852e-108,0.8214194756658589,2.2737250453115574,2.0872949150230635,2.4768064850193534,5.30413994321108e-79,0.7905268807191241,2.2045576592382887,2.0279184592594035,2.39658278700274,7.862982562443894e-77,0.7511142142873977,2.1193601228654915,1.9607303491301658,2.2908235864177184,7.372282718639842e-80,0.759323048992281,2.1368292020901154,1.9841292806131083,2.3012810120387646,1.2793434782178455e-89,0.6945288871624108,2.0027653231976483,1.8577265421671174,2.159127755758873,2.7726254835005804e-73,0.6856697585039837,1.9851009286299919,1.832600530043223,2.1502916932773743,1.9757614863524195e-63,0.8166435728842942,2.26289184528962,2.0832628321278355,2.458009342128003,1.950672791198103e-83,0.729904941526012,2.07488336305319,1.8886442877522434,2.2794874599698436,2.96109920128323e-52,0.7694786377359542,2.1586405266423574,1.962636991867414,2.374218432940645,1.5555937082030476e-56,0.8536558380987536,2.348215875963306,2.1468368196741747,2.5684848282800528,1.031472523957226e-77,0.6408750158295933,1.8981410563295258,1.7377394125565393,2.073348537582612,6.2387955888994654e-46
subject_sex_female,0.022280549387830566,1.0225306145715083,1.003367777677325,1.0420594332382807,0.020983448169967247,0.03250714540021321,1.0330412746109447,1.0127260678738126,1.0537640028268502,0.001337188785746744,0.05614612158178939,1.0577522328742628,1.0357220488367105,1.0802510069252012,1.7095517909325462e-07,0.049110625488242694,1.0503365383056258,1.0279019435452585,1.0732607819524675,8.267334479959116e-06,0.05210973749110062,1.0534913436673088,1.0306365808015587,1.076852919696282,3.2150278045270864e-06,-0.0035534716725502346,0.9964528344361759,0.9741184378416612,1.019299309697784,0.7586647273118988,-0.05918499429940436,0.9425323899088766,0.9215733437331165,0.9639681009313196,2.4914149935517484e-07,-0.058800895492350076,0.9428944850111473,0.9208707990175014,0.9654448928264258,1.0813960067791429e-06,-0.0869688581369831,0.9167056431102037,0.8936802695936523,0.940324257681319,2.073633172059426e-11,-0.15901903320060873,0.8529801238728162,0.8306972615962198,0.8758607080562881,5.304598879548092e-32,-0.10587316522617368,0.8995387336325915,0.8782993542967896,0.9212917319667032,3.8115578901831405e-18,-0.11620011845353481,0.8902970406022926,0.8696650668455419,0.9114184882465518,2.6459831013978876e-22
const,-0.8604073617992206,0.422989737356294,0.4177610008615447,0.4282839172152519,0.0,-0.8276479205872445,0.43707611598990875,0.4314617932713343,0.4427634941216851,0.0,-1.124469258900957,0.324824819498819,0.32052178552369187,0.32918562209444974,0.0,-1.2473711164535033,0.2872589754962061,0.28285387994791356,0.2917326749002887,0.0,-1.2853376032703416,0.2765572012541823,0.2722360031952442,0.28094698962610404,0.0,-1.410338829109263,0.24406057431514597,0.24013132529071413,0.24805411731653942,0.0,-1.328850487370877,0.26478145605616465,0.26054568814020546,0.2690860860974806,0.0,-1.2992658416017182,0.2727319480024027,0.26811237974596863,0.2774311112812527,0.0,-1.2620177374880637,0.2830822641639941,0.2777981539254977,0.28846688558522526,0.0,-1.2647977690687695,0.2822963794280203,0.276699457517048,0.28800651274590544,0.0,-1.2470350238452979,0.28735553734046315,0.28214121157567046,0.2926662304279505,0.0,-1.270889996593068,0.280581793781295,0.27555355651733543,0.2857017851503447,0.0
