variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
male_black,-0.047373892665295014,0.9537307379907208,0.8639070266045622,1.052893763537681,0.3478928046209391,-0.08938737967448132,0.9144912496273386,0.8691513769919781,0.9621963075514864,0.000570405221829484,-0.0875020210322056,0.9162170199449018,0.8119281215577429,1.0339014074622321,0.15583435977906895,-0.04659463670416819,0.954474228000498,0.9125679848243371,0.9983048573553802,0.04194898033484836,-0.14491982589102145,0.8650916482825454,0.7568371171258201,0.9888304140926487,0.033616626375866404,-0.2601483500237894,0.7709372087665973,0.6001304743495427,0.9903582725156856,0.0417723459884794,0.012880783824416625,1.0129640984553276,0.7741061435768138,1.3255239908292966,0.9252074358485495,-0.138021931298829,0.8710795876295699,0.6868382448626943,1.1047428614529016,0.254962521580839,0.04478227321072384,1.045800136412938,0.8170102570949568,1.3386587448855063,0.7222038068453646,0.10131730376477666,1.1066277232035253,0.8668603194414682,1.412713086869247,0.4161054781200415,0.17867367471022702,1.1956305160260872,,,
female_black,-0.22731866986822363,0.7966668681090107,0.6375436760392263,0.9955052847290258,0.04554449952867653,-0.23638828171624937,0.7894740760642928,0.732342377288671,0.8510627489359278,6.927936324339601e-10,0.06329724050898299,1.0653434554043242,0.9696937286953415,1.1704279860609537,0.18724366379864865,-0.18841756886762728,0.8282687757578158,0.6786734376055218,1.0108383898385378,0.0637540884266881,-0.09658022275683145,0.9079370574642914,0.7634174333108877,1.0798151369713545,0.2748999592005412,0.36458035339864425,1.4399096281633648,0.8247071143739237,2.514031589083035,0.1997819898338753,-0.027221750815994806,0.9731454218047549,0.7164772991488879,1.3217613636950136,0.8616675224412366,0.11287667034216481,1.1194938576399593,0.9363062045650383,1.338522046722742,0.21568130489550952,0.38979050064596477,1.4766713997704666,0.7066302207237483,3.085855032730821,0.2999466902170088,-0.018485080489284857,0.9816847207382445,0.6223090662959947,1.5485952931184666,0.936650039288294,-1.3078658723102319,0.27039650172346674,1.5690988646221576e-19,4.659634252038987e+17,0.9513225230954591
male_hispanic,0.025908821827503536,1.0262473728474941,0.9705390346948554,1.0851533350304785,0.3629075304838718,0.009863562810167086,1.0099123680784492,1.0039404780728904,1.01591978157471,0.0011156276754485269,0.03165012107026721,1.0321563123760142,1.012065930776841,1.0526455053772181,0.0016001894188598475,0.029199158348680792,1.0296296333943864,1.0117253862203555,1.0478507274828417,0.0011046564698486059,0.03596813617281824,1.0366228151944388,1.0064742784835161,1.0676744393316782,0.016916795293573466,0.07752860795021503,1.0806131461434558,0.996228895853122,1.172145052686988,0.061638568352638014,-0.0019611631248053936,0.9980407586990536,0.9146893973717949,1.0889875392528494,0.9648441860811864,0.052710736693529284,1.0541246814232978,0.9489146567662295,1.1709997691178191,0.325834523766226,-0.006922646250502928,0.9931012600682466,0.9430696992341847,1.0457870860976861,0.7929528115932675,-0.04429495281844168,0.9566717428282195,0.8707339707085594,1.0510912107646637,0.3563382765678319,0.16395912759040593,1.178166159618768,,,
male_asian/pacific islander,0.38017672734692093,1.462543037946946,0.8993434542020357,2.378437434389279,0.1254353539157114,0.8548014443004535,2.3509075481375254,1.717707320660865,3.217525030843812,9.35540849759973e-08,0.06234129367307522,1.0643255303176262,0.7989520081785879,1.417843403470971,0.6700780563424926,0.20134271381352611,1.2230438540299189,1.0564808770295537,1.4158668665031722,0.0070275480353749874,0.19808975597424813,1.2190718078890816,1.0368148508545356,1.433366884709542,0.016505627356346683,-0.024438940629144423,0.9758572723304193,0.6222626680415669,1.5303785119510864,0.9152220868037347,0.09413672332951646,1.0987099549316126,0.5878025650450786,2.0536888350823186,0.7680160748238746,-0.11914144225706669,0.8876822361030526,0.44518232514482325,1.770015806527306,0.7350912842475146,-0.23705688267553032,0.7889464093585984,0.210327070050443,2.9593738775068057,0.7252542427429136,0.16182638914139963,1.1756561169345277,0.7356118233015153,1.8789356852398547,0.49875413429644544,-0.3819018466968111,0.6825620456369828,,,
female_hispanic,-0.045721832219612395,0.9553076610462314,0.834590758145131,1.0934853020441941,0.5071069038935855,-0.025518204748699154,0.9748046327308391,0.9578702991453998,0.9920383509555545,0.00431780393605254,-0.11265484445933972,0.8934589892226877,0.8104881987970908,0.9849236134561866,0.02348482539973912,-0.055627642964954545,0.9458912795970804,0.9048787879562353,0.9887626107786217,0.013907113933999252,-0.04416423532612114,0.9567968047331271,0.9050514815994188,1.0115006098102937,0.11950323485292291,-0.22968113126470194,0.7947869948256137,0.6009871114707491,1.0510813877489869,0.10726460496565325,-0.02653198662142368,0.9738168942250207,0.9476156769808759,1.000742565276496,0.05656954020529242,-0.05097526711362635,0.9503021739574611,0.8678403719817033,1.0405994592831829,0.27104303598146484,-0.10837279502941324,0.8972930276908777,0.8318249561618675,0.967913707780112,0.00505257020252297,0.050077497183153345,1.0513525700816744,0.8765245912043853,1.2610510163765634,0.5894194037393927,0.0014527033552505335,1.0014537590399066,,,
female_asian/pacific islander,-0.264459924060591,0.7676204113602456,0.5445172477424834,1.082134860520599,0.13118885728378898,-1.5920847536127005,0.20350091992114036,0.11176293348467348,0.3705398839985663,1.920512879233175e-07,0.02987732376585997,1.0303281294254132,0.5294692923267208,2.004981345792953,0.9299103130532069,0.026541629682884527,1.0268969957681615,0.93744654528342,1.124882741552865,0.5681386360258315,-0.09588227129623282,0.9085709746556614,0.7540622725841163,1.0947387848457213,0.31336030932172365,0.2978019517032158,1.3468950112001772,0.47205480066026323,3.843041461835589,0.577730968932644,0.0034134594450502564,1.003419291932173,0.6784379025887749,1.4840713815954811,0.9863614626406614,0.017826913166870795,1.0179867610353197,0.8107983864592592,1.2781192747171963,0.8779720315432498,0.2644675380255193,1.3027371330862245,0.24822590974081427,6.8370140719547425,0.7545422074626977,-0.40106184114408966,0.6696086503924743,0.31954243676594424,1.4031805891523992,0.28799299335165995,1.0263791287634334,2.790941875823255,,,
female_white,0.024955335774321963,1.0252693266411763,0.9907630368767766,1.0609774012814617,0.15309304327684423,0.03936021071818907,1.0401450875869513,1.0249433471645737,1.055572296970622,1.6076862039204e-07,0.010152609489497953,1.010204322086993,0.992696987249688,1.0280204185877688,0.2550307999761524,0.02138855171020271,1.0216189263103626,1.0073539696584264,1.0360858864232574,0.0028707619577987885,0.02719879787715609,1.0275720616041766,1.0049185781167718,1.050736213642536,0.016786482321139384,0.022488649660174966,1.022743425613131,0.9979708829179124,1.0481308949380648,0.07223977003979126,0.004730081573631933,1.0047412860685712,0.9902792017464799,1.0194145753544448,0.5225407665587236,0.0018163144309163225,1.0018179649290957,0.979331693804179,1.0248205395621108,0.8753898775458105,-0.010406927066653145,0.989647037634359,0.9191066054675637,1.0656013712361754,0.7826722801421745,-0.003178945090451246,0.9968261024055054,0.9914979061594197,1.0021829317682729,0.24501714084530568,0.01028123158081592,1.0103342650361462,,,
county_type_Non core,0.12461170799828304,1.132708545997468,1.0845546324913542,1.1830004794027063,1.8871023863398165e-08,0.06641225527841467,1.0686671900560871,1.0203780078402875,1.1192416480237686,0.0048768831408235,0.16209596213161898,1.175973084790506,1.119027107697522,1.2358169758703528,1.5476563038363455e-10,-0.17933655344248736,0.835824552425111,0.787351174382802,0.8872822003272758,4.021982774819075e-09,-0.21281049907701183,0.8083092980620119,0.7618280070589009,0.8576265446788536,1.8845130309135757e-12,-0.21024810574307537,0.8103831603098006,0.7615282425745985,0.8623723058430998,3.4211426241185303e-11,-0.1648313894208676,0.8480366799896909,0.7908800002357407,0.9093240572445538,3.6584002015451e-06,-0.09194384499206153,0.9121563702551401,0.8411281037620187,0.9891825514754635,0.02622107751927974,-0.248704202315315,0.7798106054443874,0.710280387016182,0.8561472222513837,1.7945319961646676e-07,-0.08361870938576656,0.9197818934466241,0.8370842721126739,1.0106494169064775,0.08193156285470464,-0.13666790400803241,0.8722598520384625,0.8000247896291265,0.951017092646426,0.0019438615245097842
county_type_Micropolitan,0.21202077300823602,1.236173563855413,1.1759901944886308,1.2994369231449967,8.361639371897549e-17,0.1442699534989926,1.155195915615755,1.0954200242841583,1.2182337129790783,1.0268586831922785e-07,0.26142499550047593,1.2987795236104072,1.2275376614988622,1.3741560066597107,1.0616517836000307e-19,0.12609041034963228,1.1343847237664098,1.0645638339528125,1.208784913100508,0.0001001176431194861,0.2532686001243899,1.2882292489049783,1.213619125080256,1.367426207645286,8.781348065841124e-17,0.2813356407018846,1.324898219083792,1.2462632437104593,1.4084947941698427,2.0233996178859062e-19,0.16064840911407288,1.17427203288151,1.0932566757158324,1.2612910013147653,1.060358028398853e-05,0.1990835783421618,1.2202839509475294,1.1221547332780706,1.3269942876684495,3.2483290550423977e-06,0.2714930839593901,1.3119217985206744,1.1999186640929984,1.4343795599968483,2.479431228796388e-09,0.0367685300493421,1.0374528538826147,0.9363812217635009,1.1494340115045811,0.48201500184706825,-0.03207651461897045,0.9684324800020817,0.8816393237631486,1.0637700055390653,0.5031383622895804
const,-3.9593759132847293,0.0190750150411563,0.012366868560779816,0.029421853804953487,1.03621284285808e-71,-2.4489345928314252,0.0863855732980252,0.04647891556280282,0.16055596787633986,9.64315136379247e-15,-4.4359627117352245,0.011843658388524204,0.006780219920656963,0.020688450472926282,8.881911585848153e-55,-5.154796653493624,0.005771653601372536,0.002481134376571738,0.013426110898622426,5.278450521741886e-33,-4.88095931009768,0.007589729629865475,0.0029628682729272485,0.019441969925158523,2.6927784546343947e-24,-6.5059600337038415,0.0014945052943300874,0.00020125460659028,0.01109811155442409,2.0190032062758865e-10,-5.591623843109091,0.003728967687148155,0.00154959531658495,0.008973439621926456,9.567992496506509e-36,-5.643208874974465,0.0035414859678828004,0.0004967906258701624,0.02524629533567063,1.7892820343511107e-08,-3.8343975069414746,0.021614357048066565,0.008430119030470164,0.055418011170744914,1.4416229137467819e-15,-3.553577594065589,0.028622058160760615,0.012575651728088175,0.06514351948282734,2.478958254788884e-17,-30.7404511785077,4.462638233893921e-14,9.272827589351325e-264,2.1476879425088368e+236,0.9165357618683008
