,variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
0,subject_race_black,-0.22530842552754934,0.7982699739493943,0.7178924985055322,0.8876467613684863,3.168325999498672e-05,-0.09349555001973461,0.9107420702014211,0.8000423351319613,1.0367590338803234,0.1573608551110589,-0.11015943540725182,0.8956913190016268,0.7847887413066982,1.0222661166100326,0.10237913949591188,-0.28066040182843555,0.7552847852648908,0.6635982577198623,0.8596392474156399,2.1334309249796967e-05,-0.1544033715454059,0.8569262916048991,0.76360717297558,0.9616497791426694,0.008672251704301788,-0.06820441482166964,0.9340695164070172,0.8416614526901989,1.0366232868240741,0.19941060009985268,-0.20362354885221093,0.8157694107219715,0.7272466927890562,0.9150673878178782,0.0005119230712153893,-0.051283291495056185,0.9500095027953973,0.839000622769508,1.0757060613642708,0.4185770457932608,-0.05969795944287423,0.9420490276308611,0.8188734531446998,1.0837527667457942,0.40372104492017125,-0.1450121942597308,0.8650117448685403,0.763236004186266,0.9803590431484794,0.023173852145598434,-0.13143052729397497,0.8768401894825449,0.7959819598201612,0.9659122401033986,0.007754604285449444,-0.2665169617088479,0.766043010217494,0.705495664362561,0.8317866758731862,2.236395301912319e-10
1,subject_race_hispanic,-0.4437971526913767,0.6415955535596006,0.5915598538014848,0.6958634053716395,8.866466937309971e-27,-0.5385770264532767,0.5835780779914452,0.5292179950520266,0.6435219064663683,3.602377042558848e-27,-0.5328646627028479,0.5869212278027225,0.5262848659791036,0.6545438600150302,9.952367653105515e-22,-0.2545366114994684,0.7752756685664455,0.7184188580405871,0.8366322174649714,5.755761861835409e-11,-0.3552986501620303,0.7009640689125367,0.6547446016954348,0.7504462421440159,1.806501401969772e-24,-0.2506322086642523,0.7783085740744111,0.7297105083004805,0.8301432274678183,2.5584156932455867e-14,-0.21860314599367697,0.8036405828630259,0.7493450786772976,0.8618701914536114,9.072426138607434e-10,-0.32956343500074714,0.7192376588905226,0.664270782114061,0.7787529180795649,4.483409361512387e-16,-0.5105863832347356,0.600143561490932,0.5488872607403074,0.6561862884433509,3.665571423672927e-29,-0.48976635622706205,0.6127695472493145,0.5678942918914913,0.661190864915182,1.603666311336026e-36,-0.3608685850768947,0.6970705979269984,0.65766582842597,0.7388363474156073,5.404122110225491e-34,-0.3439397363500697,0.7089716519815933,0.6743310240562784,0.7453917814577073,2.8089835351421503e-41
2,subject_race_asian/pacific islander,-0.39744338212160246,0.6720359908224824,0.48337844631142035,0.9343245988874482,0.018077582537017793,-0.55675579273999,0.5730651936476594,0.366706039828366,0.8955503332427691,0.01451419967627206,-0.4827350355210481,0.617093309520802,0.4125387360878985,0.9230749002299735,0.018795784248338533,-0.37141491352366496,0.6897576923839467,0.49012550621788825,0.9707017246952307,0.033127214019547616,-0.2105066899932501,0.8101736350790675,0.6085031198735134,1.078681928719887,0.14948181651506726,-0.2551694484144063,0.7747852007135735,0.5968483212935868,1.0057699516415186,0.055270129398248206,0.03124763211607091,1.0317409644533615,0.8089166722529234,1.3159444652889036,0.8012606884558957,0.002855381510638175,1.0028594619952795,0.7401583339181891,1.358799941073995,0.985300031785806,-0.21369679104027356,0.8075932174024508,0.5754442498450446,1.1333970318933038,0.21652693412381974,-0.09742241767652868,0.9071727193930886,0.6705275365333643,1.22733563943664,0.5275793020537043,0.019049050991722574,1.0192316417141136,0.781713693594905,1.3289176689408042,0.8880904963099331,-0.16618000346435824,0.8468937766546278,0.6717489984467117,1.0677039647171649,0.1597882781557579
3,county_type_Non core,-0.5267440817699386,0.5905245426199199,0.5393689988566981,0.6465318477251133,4.493807214050901e-30,-0.2762516404721677,0.7586220067401706,0.6870095598880314,0.8376991860262897,4.746596950013535e-08,-0.5279516888071057,0.5898118514386858,0.5364451260920227,0.6484876144402787,1.0242881107443802e-27,-0.17138377090123394,0.8424981851342752,0.7707208011089248,0.9209602114452754,0.0001617471613897211,-0.06920239012589839,0.9331378030879802,0.8634889746662926,1.008404490501311,0.08037755088192193,-0.05551285370576697,0.945999863988379,0.8780938881037382,1.0191572390950363,0.1441079146663183,-0.13998185883383682,0.8693740067140641,0.7986451547542284,0.9463666799339133,0.0012240794841534694,-0.08148496363503122,0.9217465694675151,0.8395353657569756,1.012008276219629,0.08735207917186108,-0.1012121071324648,0.9037413225745994,0.8123647007653894,1.0053961938023237,0.06274280577774495,-0.2991011033334834,0.74148443909668,0.6743734314920589,0.8152740718240951,6.440288036214762e-10,-0.35971487521983886,0.6978752792420174,0.6463070575314686,0.7535580800205178,4.1476139124915226e-20,-0.3245080171562656,0.7228829121613668,0.6754113894593453,0.7736909872266117,7.707831977269611e-21
4,county_type_Micropolitan,-0.2647279421747886,0.7674147027532211,0.7009261209290386,0.8402102709786687,1.0323233024796086e-08,-0.05064004584873766,0.9506207888545023,0.8560680166513206,1.0556169213484683,0.34344508135025886,-0.4218317973416036,0.6558443448786466,0.5910314792304271,0.7277646281537644,1.93222090737424e-15,-0.32699155619063985,0.7210898317459717,0.6501429043736434,0.799778851617831,6.096577431198785e-10,-0.32831727302501845,0.7201345042037471,0.6568054181616865,0.7895697718149973,2.7363019173945326e-12,-0.3185704352083446,0.7271878565235254,0.664680960753618,0.7955729288164373,3.7294863559827724e-12,-0.18790017090092298,0.8286974312214476,0.7559858702990938,0.9084024708574623,6.0636040797407214e-05,-0.42863706389400047,0.6513963015215462,0.5833056625703076,0.7274353205594072,2.7569672277375906e-14,-0.46703091547446085,0.6268607104165242,0.5563428570634833,0.7063168786564832,1.716711831710411e-14,-0.6203826599773453,0.5377386271685893,0.4856280221090472,0.5954409918384569,8.348690928477795e-33,-0.7379397097971362,0.4780979219681782,0.44125268771114023,0.5180197862951608,1.0427642243738763e-72,-0.6733446562436929,0.5099999474802398,0.47451466800898723,0.5481388963616212,8.337926088628397e-75
5,subject_sex_female,-0.1104958801888571,0.895390019019665,0.8408216620734259,0.9534997994497725,0.0005728433813481978,-0.22614844071971105,0.7975996966048201,0.7361879550676645,0.8641343173913106,3.163446173197328e-08,-0.11800922337841614,0.888687855872428,0.8224792444941333,0.960226182559634,0.0028135025463708867,-0.09543170782372165,0.9089804357862126,0.8450652922000687,0.977729697655693,0.010305601589850647,-0.10470309007766669,0.9005918775585494,0.8444747489579856,0.9604381077412009,0.0014244025002513613,-0.10998964262110156,0.8958434138381483,0.8436880916596196,0.9512228868117834,0.00032568854188412007,-0.18442326724111796,0.8315837471664804,0.7788593998457016,0.8878772326410169,3.42110486161438e-08,-0.1943380778100597,0.8233794908734106,0.7634852977710663,0.887972287050174,4.572920774866768e-07,-0.24734578510744692,0.780870633406808,0.7169574365730166,0.8504813745035341,1.369587104714644e-08,-0.16690047441397607,0.8462838340404872,0.7869514005581333,0.9100896538849993,6.785888275686382e-06,-0.2404227683158195,0.786295370018846,0.7427193836839144,0.8324279970269262,1.397469175428694e-16,-0.26659774338664266,0.765981130477274,0.7286768604596311,0.8051951750974361,1.2417555103225112e-25
6,const,-0.6955405888853685,0.49880472679629073,0.4767715695590234,0.521856107536883,5.000443739621144e-200,-0.8259987680191805,0.4377975158747698,0.41274397053130313,0.4643718105909508,3.742496131732507e-166,-0.7954035864919465,0.45139901960845397,0.426941946930232,0.4772570986958343,2.3573739227267936e-172,-0.6431599174417004,0.5256288532728247,0.4969585878609677,0.5559531480924929,7.3563085983575275e-112,-0.8170071805602882,0.44175176135884897,0.4201710101897285,0.464440939358305,2.7675020769893043e-224,-0.9458071592984533,0.3883659711514841,0.37041942758860935,0.4071820112954394,0.0,-0.8990952420394401,0.40693767333328107,0.3866073210091133,0.42833712912022326,4.38549668471557e-259,-0.8880671529827933,0.4114502550775281,0.3882602601369674,0.43602534120705955,8.791013358612973e-198,-0.8806260407958204,0.4145233219228275,0.3881341684402591,0.4427066679247636,9.384618768601984e-152,-0.8657015476715669,0.42075626848102926,0.39714504882042884,0.44577123142262226,9.964934911350161e-190,-0.6853187204876562,0.5039295912917485,0.4816113875927704,0.5272820359351502,3.2097241955769756e-193,-0.7553237415982705,0.46985847737084574,0.45146347726697494,0.48900298667282455,9.039307936800367e-301
