,variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
0,subject_race_black,-0.04871244086000101,0.9524549774571102,0.8100114647292112,1.1199477088711252,0.5556132266007838,0.08348293559179899,1.0870666649852898,0.9134315387947668,1.2937082681439491,0.3471127927448939,-0.024809646279808657,0.9754955835695004,0.8203735763666437,1.1599491511880584,0.7788840165427144,0.06984350807413998,1.0723403555154605,0.8999036623976358,1.277818822298467,0.43489370737270816,0.029292656963701112,1.0297259068397395,0.864182034808702,1.2269815854846404,0.7432318025563059,0.09745710838097715,1.102364158365802,0.9298609087651971,1.306869367444717,0.261679070952738,0.19674360361710003,1.2174318555618544,1.0392871802699488,1.4261123884466687,0.01479513931289056,0.0312882706723523,1.031782893768581,0.8597509799441029,1.2382375416922242,0.7367169608426802,-0.08655253317482461,0.9170873700080866,0.7580172991477157,1.109538324750624,0.3731899165184067,0.21960756126684464,1.2455878177542559,1.0252531561612503,1.513274065448274,0.027031579927224585,0.030303044551246,1.0307668549065296,0.8530570586750261,1.245497353745774,0.7536251398658855,0.09082002307563374,1.09507189984929,0.9148614332291511,1.3107804332802895,0.32217598432188477
1,subject_race_hispanic,0.08148671727596253,1.0848988070768315,0.9974379184154953,1.1800287515302137,0.05741428257930344,-0.13310313982715619,0.8753748014468514,0.7982805863272097,0.9599144162251008,0.0046589013133304736,-0.06861441782021693,0.9336866236034013,0.8374333106577865,1.0410031461623632,0.21643827098722257,0.07488943073003645,1.0777649766095907,0.98706770347463,1.1767960198853036,0.09497015550241657,0.08859245276422316,1.0926352650915114,1.00036571184111,1.1934153763870896,0.049058050169589876,0.23009801458963627,1.2587233771387618,1.154761161202096,1.3720452275224422,1.680863213061553e-07,0.14761929647543323,1.1590715497329873,1.0661676193221132,1.2600709616885704,0.0005342071204735261,0.15940667249040033,1.1728148012283264,1.0741577835005316,1.2805330642372597,0.0003770919316148563,-0.19851127262618917,0.819950527692516,0.7456885168938994,0.9016081817428557,4.1622197640093855e-05,-0.13954326800572558,0.8697553898090573,0.7853507444366383,0.9632313249343805,0.007379225960190808,-0.03494992201333066,0.9656537730435248,0.8753108017969339,1.0653212635773297,0.4855681402851415,-0.2235737762572638,0.799655894072341,0.7306318900234318,0.875200710037619,1.2087729522652017e-06
2,subject_race_asian/pacific islander,0.4795485329879104,1.6153449625825713,1.0934591280315227,2.3863163068914135,0.0160074899697803,0.47637969037042843,1.610234290357774,1.0509178415750724,2.4672285189848338,0.028663982489287428,0.22816299781414792,1.2562900812816975,0.8420356414970935,1.8743443751629152,0.2636908361953061,0.5597341925425486,1.7502072203301493,1.2748080235885382,2.4028914608435863,0.0005373258161058215,0.3876274407005267,1.4734807230695868,1.0952846134277365,1.982265992455592,0.010426056023540116,0.27595411211582066,1.3177873921646264,1.002983458520067,1.7313980566642644,0.04755166071063814,0.5669768171778018,1.762929329378996,1.3741430964645514,2.261714830413844,8.186633903895825e-06,0.49543076155388605,1.641205054851253,1.2697848085290924,2.121268118799983,0.00015404956456300454,-0.10259179150984667,0.9024953045441068,0.6815288435777346,1.195103893840201,0.4739790834023393,0.4621886817433526,1.5875448156919152,1.1976344688722105,2.1043971322932897,0.0013083774072059377,-0.04300240056225839,0.9579090905438609,0.7122526343148609,1.2882926387899236,0.7760788024970433,-0.03487090266467515,0.9657300813905757,0.7306713473020278,1.2764077769661568,0.8064282168309376
3,county_type_Non core,-0.5381010733298466,0.583855899910291,0.5292237141498325,0.6441278097442633,6.956152647688396e-27,-0.5171811365905346,0.596198784437457,0.5367489548705586,0.6622332234450681,4.92235318609811e-22,-0.7148510502466742,0.4892649822675972,0.4407032318188546,0.5431778248717412,5.782184218950946e-41,-0.661043750470936,0.5163121521028052,0.4625227850235474,0.5763569861654677,5.146913189742657e-32,-0.45002749619412924,0.6376106195153682,0.5710656301853975,0.7119099462994917,1.221610272651491e-15,-0.38932307601868377,0.6775153456907931,0.6075243494621403,0.7555697875367553,2.5968189908322075e-12,-0.2382384543052322,0.7880147631756845,0.7093544707993386,0.8753976926135266,8.987191141690809e-06,-0.18614291323653454,0.8301549463736949,0.7443097696298603,0.9259011007358201,0.0008307501200417177,-0.3029286700564327,0.7386517824813719,0.6558996263193356,0.8318444375775117,5.825056851149556e-07,-0.3408533426881,0.7111631978417217,0.6260178828562929,0.8078892118175532,1.6167359217148478e-07,-0.14039793491307914,0.8690123562282308,0.7669460213710793,0.9846618330808891,0.027634235760983193,-0.03488919316123611,0.965712417869381,0.8593715104369918,1.0852122309161691,0.5577833020341632
4,county_type_Micropolitan,-0.4590191914010809,0.6319031176769515,0.5759986953232235,0.6932334280823013,2.671239940844875e-22,-0.6238395023107961,0.5358829587423464,0.48294122126349076,0.594628358124295,6.70309148036952e-32,-0.6768806536949489,0.5081997735467019,0.45687375517573175,0.5652918490220112,1.2226531619181903e-35,-0.5591796907697274,0.5716778241542221,0.5119928131356702,0.6383205510798928,2.804065841282783e-23,-0.5802002417010657,0.5597862627883572,0.4988880361104378,0.6281182095478988,5.420278874368722e-23,-0.3326054530341762,0.7170530494571772,0.6412087056143266,0.8018685199278882,5.503989567624074e-09,-0.37044623188569115,0.6904261717147647,0.621847911137012,0.766567339137812,3.9094532454558125e-12,-0.31645911144541833,0.7287248074546894,0.6515781196819056,0.8150056439266604,2.9743883591887596e-08,-0.4350607977708344,0.6472253160253767,0.575841821906746,0.7274577735897533,2.9490413184818896e-13,-0.6203214120571166,0.5377715635497622,0.47428818874371387,0.6097521747880317,3.7194209411601177e-22,-0.5777114424441936,0.5611811935544883,0.49759461739861915,0.6328933653776978,4.707106944786076e-21,-0.6848254692513407,0.5041782164979735,0.45098587857065514,0.5636444200796701,2.2260106797346626e-33
5,subject_sex_female,-0.20500174167054025,0.8146458975654184,0.7552127255030039,0.878756297410307,1.1332156327340333e-07,-0.17042298822481608,0.8433080317764803,0.7765808064494898,0.915768752655847,5.075501320414654e-05,-0.16082155715727173,0.8514439916384742,0.7836193121066279,0.9251391073406987,0.00014635817068938333,-0.16267539580356782,0.8498670140442579,0.7801895745619978,0.9257672303119291,0.00019359871914729164,-0.13108858818568592,0.8771400667020013,0.804351420383795,0.9565156188160708,0.0030189231451764544,-0.2630909474078796,0.7686719854074728,0.7055806252523321,0.8374048266120714,1.7346088518009123e-09,-0.19088455059175288,0.8262279701754227,0.7613681242675497,0.8966131322570455,4.7335032978792e-06,-0.2095455149802442,0.810952728095691,0.7435437339763136,0.8844729599009622,2.21708284095516e-06,-0.20784228688705345,0.8123351425137728,0.7394580578118791,0.8923946081749908,1.4651475724342653e-05,-0.26807108613192737,0.7648534087000091,0.6916440532103185,0.8458118508858676,1.7690665924142196e-07,-0.18895748339076263,0.8278217021183605,0.7515360873838367,0.9118507840171589,0.00012776162969532645,-0.2170506005382019,0.8048892404457996,0.7374231074180189,0.8785277852951454,1.1770398974307414e-06
6,const,-0.47229967256476835,0.6235666191076251,0.5880749611734928,0.6612002791096568,3.2916271818199433e-56,-0.3823758994645691,0.6822385518926924,0.6408791290773099,0.7262671236598975,4.3255285578110666e-33,-0.42981077996138745,0.6506321957255589,0.6113258724837789,0.6924657914358016,1.2117366774055348e-41,-0.7502136865361031,0.47226562515240594,0.44066661556672765,0.5061305141388001,4.817316504098483e-100,-0.9098805374966814,0.4025723134574697,0.3756299184971288,0.43144717601544835,3.7107729131799976e-146,-1.0726065155452498,0.3421156245609791,0.31954324447633303,0.3662825066465068,2.643297946061567e-208,-0.9781655487003835,0.37600022067140376,0.3517100901973369,0.4019678988044421,3.0615087328300424e-181,-0.9519244959746033,0.3859974576358559,0.3590169728113493,0.41500555289801144,3.383339674813377e-146,-0.6900632936475175,0.501544323491794,0.4629639841474411,0.5433396917258486,4.7165226262293055e-64,-0.7408925429574815,0.4766882608416204,0.4383054195187393,0.5184323257369481,4.8583959099901706e-67,-0.7436147498193295,0.47539238141318085,0.43726989864932164,0.5168384949519228,4.412279105863447e-68,-0.7590993818823201,0.4680878055892143,0.4331658712206082,0.5058251545162407,4.590486892108916e-82
