,variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015
0,subject_race_black,-0.26816502395125524,0.7647815634132379,0.691666669650804,0.8456253068144594,1.6904118606847951e-07,-0.25146068981510145,0.7776640271256122,0.702936495356665,0.8603356677026325,1.0695668606454581e-06,-0.12621857548859816,0.881422168445673,0.7934934564143471,0.9790944496734291,0.018573237295431394,-0.16347596766478414,0.8491869067007634,0.7608247293664078,0.9478114665286143,0.0035447056990854323,-0.019525045857147493,0.9806643333022792,0.8955670637765497,1.0738475916652908,0.6733295740691053,-0.05560804846517002,0.9459098140451406,0.8688966374353143,1.0297489226657557,0.199353947254711,-0.1684743551112201,0.8449529318650547,0.7784811521286754,0.9171005041228583,5.577392657831779e-05,-0.13266904360623946,0.8757548808295886,0.8077860526751,0.9494427500412921,0.0012882317291017537,-0.018146246348197836,0.9820174053966914,0.9007504485703507,1.0706163799670105,0.6805336957009103,-0.007145856900989885,0.9928796140277861,0.8066180253351635,1.222152117840839,0.9462531052443552
1,subject_race_hispanic,-0.3713500781840374,0.6898024145079644,0.6354841324223234,0.7487635753347138,7.053098687546542e-19,-0.20849893317647422,0.8118019007514478,0.7495177773560326,0.8792617679975555,3.0676197915779473e-07,-0.32917931952620977,0.7195139822718184,0.6597530394084471,0.7846881177672711,1.0020820020300136e-13,-0.14316295350659222,0.866612839787811,0.8089983384541425,0.9283304778105737,4.529338271320594e-05,-0.1653729432729762,0.84757754679281,0.8015906280938614,0.8962027157622896,6.235089394292427e-09,-0.15751479345572633,0.8542641759957366,0.8102639538435003,0.9006537671187417,5.2786702332785534e-09,-0.08866105035498194,0.9151557127146679,0.870132736643691,0.9625082970039343,0.0005720011681492777,-0.18103184066795128,0.834408790139589,0.7943151510344584,0.8765261850481927,5.787917557187724e-13,-0.2553067975936997,0.7746787919098751,0.7368868550117724,0.814408923911875,1.4486717547742535e-23,-0.505029193979653,0.603487956954729,0.5358102461789077,0.6797139785710382,8.667326839674106e-17
2,subject_race_asian/pacific islander,-0.29849487875438174,0.7419340814670397,0.5745286671371288,0.9581178672690221,0.02214348733315365,-0.1220523518083846,0.8851020305977945,0.6850693955482088,1.1435419676592609,0.3504176878473487,0.24584519385047046,1.2787016073467108,1.0024168797392516,1.6311355421871765,0.04777101211717504,0.11708052597900458,1.1242099541528674,0.9114821302249532,1.3865856269771026,0.2739717058977874,0.36773038961759247,1.4444525470671232,1.2052924736216653,1.7310679410942897,6.839512156784765e-05,0.16192542327595216,1.1757725527860663,0.9953044734369187,1.3889630085870206,0.05683156002647905,0.07328246911423204,1.0760344404862838,0.9243455121634617,1.2526161504291211,0.344536140308334,0.16531650029441758,1.1797664560582704,1.0109606599035228,1.3767587068849116,0.03587613736562842,0.19519590349328325,1.2155490934796436,1.0318462797866552,1.431957092450519,0.019544676695335723,0.10882882342888553,1.1149714770110677,0.7614326044341869,1.6326611013354526,0.5759688451025042
3,county_type_Non core,-0.4258806924458807,0.6531942684825187,0.5988438352209013,0.7124774895963077,7.374060154786959e-22,-0.4266654263095222,0.6526818858887843,0.5991089587073606,0.7110453582374486,1.6073175502706937e-22,-0.4062301921627256,0.6661568056984117,0.6162518509417153,0.7201031349442266,1.535865964267165e-24,-0.44520108020207655,0.6406954319118336,0.5906259497937519,0.6950094837790914,7.903093383274553e-27,-0.2913839614324142,0.7472287159223213,0.7033408349938827,0.7938551639814534,3.90734371691535e-21,-0.36707044696856517,0.6927608404241946,0.6529406019701682,0.7350095561175762,5.525929318291903e-34,-0.33682597776258427,0.7140330867268925,0.6729853976093135,0.757584415281343,7.128666904164515e-29,-0.38667213156437397,0.6793137839659366,0.6420025188557282,0.7187934681449758,4.895000621304981e-41,-0.3414920544681935,0.7107091145592991,0.6710153045587339,0.7527510059548141,2.4040511867830196e-31,-0.44721599000860934,0.6394057880973727,0.5528730517387324,0.7394821660536006,1.6606836800213164e-09
4,county_type_Micropolitan,-0.35164928079424507,0.7035268190803211,0.6408106373687307,0.7723810378641927,1.5658542186220975e-13,-0.26314118226560906,0.7686333722495166,0.7009754714692515,0.8428215893165949,2.176436497935632e-08,-0.44177863903354814,0.642891930884768,0.5874541852846129,0.7035613076728745,7.859870606229784e-22,-0.2444047603307343,0.7831705737199859,0.7143645606265279,0.8586038296789984,1.8963863580255728e-07,-0.38452201751567167,0.6807759574328742,0.6329840424016746,0.73217628435023,4.012523833010458e-25,-0.41994831640817637,0.6570807792322659,0.6110069007443621,0.7066289266299512,1.0229509402676497e-29,-0.09688857101764568,0.9076571398099723,0.8516836748662658,0.9673092343555628,0.002850629198725038,-0.392576585406237,0.6753146251271611,0.633299073153267,0.7201176541123218,4.617873226114554e-33,-0.4815398005077613,0.6178313220121316,0.5810731833594499,0.6569147456648852,2.010550218272287e-53,-0.44400388766446003,0.6414629270298485,0.5566256217527289,0.7392305899574474,8.542519002668588e-10
5,subject_sex_female,-0.2949180087807798,0.7445926350211612,0.7010802789740561,0.7908055735629568,8.038443874353859e-22,-0.14730382741831535,0.8630317248776871,0.8120571295751462,0.917206106588873,2.113845642933495e-06,-0.2420261542996339,0.7850356452258378,0.7379640600625184,0.8351097263773766,1.6993192209464878e-14,-0.19549044018475867,0.8224312058169778,0.7730817216860154,0.8749309022937719,5.944947006002716e-10,-0.1882987899379846,0.8283671624794758,0.7883597035450035,0.8704049088109271,8.95758723450124e-14,-0.24436858787639126,0.7831989034341811,0.7471725663079635,0.8209623184795537,2.673876848758191e-24,-0.2669339580499796,0.7657236396778849,0.7317469247983962,0.8012779726038315,9.62088770037548e-31,-0.24562104411731978,0.7822185951044758,0.7484521199155898,0.81750844742911,1.0369954968731802e-27,-0.2443178290142993,0.7832386587282694,0.7483526571581411,0.8197509431663874,7.795084125978019e-26,-0.2769569620259387,0.7580871229423618,0.6804396269086374,0.8445952634798445,5.076222111084758e-07
6,const,-0.09699251859978705,0.9075627959483689,0.870244123294301,0.9464818049809111,5.9707753374927905e-06,-0.03508283324781722,0.9655254353374134,0.9241914555948201,1.008708055717202,0.11605091922135737,-0.0526371101991051,0.9487242323693662,0.9075850743838535,0.99172815253258,0.019954550852333382,-0.16467169834271553,0.8481721146950002,0.8098676648159155,0.8882882567113093,2.8685050659933096e-12,-0.35284322762973586,0.7026873467034143,0.676737172437519,0.7296326067601562,1.9586808901608103e-75,-0.3491615255944936,0.7052792004267764,0.6807037493723059,0.730741899120308,5.8630158407605254e-83,-0.3656272604122342,0.6937613453398159,0.6705050826078476,0.7178242443975744,4.5705144939620044e-98,-0.43040977616647175,0.6502425862083738,0.6289871532917143,0.6722163063366405,3.90955582359427e-142,-0.5172851593423187,0.5961367694248315,0.575570258894648,0.6174381708720692,2.278519269011316e-183,-0.6740323350757499,0.5096493518744123,0.46766878912124216,0.5553983244297083,2.6805312097264833e-53
