asian/pacific islander,black,hispanic,white,county,type
0.0,0.0,0.03225806451612903,0.014018691588785047,Eastland County,cite_rate_unsafe speed
0.0,0.0,0.04,0.016233766233766232,Polk County,cite_rate_unsafe speed
0.0,0.0,0.0053475935828877,0.0070921985815602835,Midland County,cite_rate_unsafe speed
0.0,0.003766478342749529,0.005405405405405406,0.005199306759098787,Smith County,cite_rate_unsafe speed
0.0,0.0,0.0,0.041666666666666664,Lamar County,cite_rate_unsafe speed
0.0,0.037037037037037035,0.0,0.009320905459387484,Kaufman County,cite_rate_unsafe speed
0.0,0.015384615384615385,0.008,0.021341463414634148,Denton County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0034129692832764505,Brazos County,cite_rate_unsafe speed
0.0,0.01694915254237288,0.027777777777777776,0.019417475728155338,San Jacinto County,cite_rate_unsafe speed
,0.0,0.15418502202643172,0.0625,Starr County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0014992503748125937,Henderson County,cite_rate_unsafe speed
0.0,0.03333333333333333,0.008264462809917356,0.006896551724137931,Parker County,cite_rate_unsafe speed
0.0,0.0,0.0,0.001763668430335097,Cherokee County,cite_rate_unsafe speed
0.0,0.0,0.0,0.007511737089201878,Johnson County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Kimble County,cite_rate_unsafe speed
0.125,0.0,0.0196078431372549,0.023890784982935155,Bastrop County,cite_rate_unsafe speed
0.0,0.07142857142857142,0.057692307692307696,0.05714285714285714,Nolan County,cite_rate_unsafe speed
0.07142857142857142,0.07608695652173914,0.0784313725490196,0.04093567251461988,Jefferson County,cite_rate_unsafe speed
,0.0,0.0,0.0,Delta County,cite_rate_unsafe speed
0.0,,0.19047619047619047,0.2857142857142857,Zavala County,cite_rate_unsafe speed
1.0,0.2,0.075,0.125,Uvalde County,cite_rate_unsafe speed
0.0,0.0,0.0,0.010101010101010102,Montague County,cite_rate_unsafe speed
0.0,0.0,0.11538461538461539,0.15053763440860216,Travis County,cite_rate_unsafe speed
0.0,0.0196078431372549,0.0,0.005235602094240838,Houston County,cite_rate_unsafe speed
0.07692307692307693,0.01694915254237288,0.009615384615384616,0.001718213058419244,Hunt County,cite_rate_unsafe speed
0.0,0.0,0.01020408163265306,0.0,Potter County,cite_rate_unsafe speed
0.0,0.0,0.02040816326530612,0.011647254575707155,Rusk County,cite_rate_unsafe speed
0.0,0.05714285714285714,0.03636363636363636,0.03048780487804878,Leon County,cite_rate_unsafe speed
0.0,0.0,0.0,0.027777777777777776,Childress County,cite_rate_unsafe speed
0.0,0.0,0.6178010471204188,0.2702702702702703,Webb County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Camp County,cite_rate_unsafe speed
0.0,0.0,0.0,0.012861736334405145,Shelby County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Mitchell County,cite_rate_unsafe speed
0.0,0.0,0.0,0.017543859649122806,Donley County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0060790273556231,Bosque County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Gonzales County,cite_rate_unsafe speed
0.0,0.006172839506172839,0.0,0.004344048653344918,McLennan County,cite_rate_unsafe speed
0.0,0.0,0.025477707006369428,0.03125,Cameron County,cite_rate_unsafe speed
0.0,0.0,0.009345794392523364,0.0056925996204933585,Comal County,cite_rate_unsafe speed
0.0,0.0,0.0,0.008403361344537815,Dewitt County,cite_rate_unsafe speed
0.0,0.0,0.014084507042253521,0.0047169811320754715,Kerr County,cite_rate_unsafe speed
,0.0,0.045454545454545456,0.16666666666666666,Maverick County,cite_rate_unsafe speed
0.0,0.0,0.0,0.005434782608695652,Erath County,cite_rate_unsafe speed
,0.0,0.5384615384615384,0.8333333333333334,Zapata County,cite_rate_unsafe speed
0.0,0.0,0.018691588785046728,0.023255813953488372,Brooks County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Fannin County,cite_rate_unsafe speed
0.0,0.0,0.010869565217391304,0.003579952267303103,Van Zandt County,cite_rate_unsafe speed
,0.0,0.0,0.008403361344537815,Llano County,cite_rate_unsafe speed
,0.0,0.0,0.0,Ochiltree County,cite_rate_unsafe speed
0.0,0.0,0.0,0.007142857142857143,Oldham County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Real County,cite_rate_unsafe speed
0.0,0.0,0.016666666666666666,0.010416666666666666,Titus County,cite_rate_unsafe speed
0.0,0.023255813953488372,0.0,0.0410958904109589,Fayette County,cite_rate_unsafe speed
