,variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
0,subject_race_black,0.045703656565071915,1.0467641633015674,0.8530737777636109,1.284431947310489,0.6615383808217609,-0.1380883415048144,0.8710217409755512,0.7025470550626938,1.0798975923176808,0.20799607217166094,-0.04763804408782421,0.9534788419303868,0.7403692960552115,1.2279303137675168,0.7120581507773124,-0.35016915984226454,0.7045688948743857,0.5670852215980252,0.8753839964752166,0.0015688060440645336,-0.3351702981427391,0.7152162759773583,0.5648982501233066,0.9055335563727847,0.005364635854876738,-0.025842356784856885,0.9744886990323256,0.7921133467225103,1.1988539625937953,0.8068898380095435,-0.15554125796252,0.8559517613747205,0.681172859113283,1.075576350405708,0.18195654078740575,-0.1784920823246442,0.8365306802295229,0.6461355182039875,1.0830291157966399,0.17553605571103714,-0.22220840873798303,0.8007484639666986,0.6190878334581112,1.0357142684639948,0.09052053789646863,-0.19564885072997534,0.8223009343597198,0.6240410719981039,1.0835485947805095,0.16455390197480424,-0.21068754871249482,0.8100271213626021,0.6366568498929938,1.0306084627115304,0.08641780447300994,-0.24739763954637503,0.780830142848054,0.6594452812526903,0.9245584574082127,0.004106319107345043
1,subject_race_hispanic,-0.6299287407635644,0.5326297544442192,0.4805367799978214,0.5903699095011945,3.7393238101826436e-33,-0.5001410778117619,0.6064450977299852,0.5487576061452293,0.6701969183519603,1.0528991539952718e-22,-0.3837161538587614,0.6813247911483383,0.6081265159218606,0.7633337124424504,3.6641098932242524e-11,-0.5211364692697468,0.5938452774219861,0.5360545695003199,0.6578662576183583,1.934218142671539e-23,-0.5139555743166775,0.5981249655828363,0.5337683488505923,0.6702410797190379,8.841791959715614e-19,-0.6356622098803348,0.5295846759697859,0.47510941851302707,0.5903059760418813,1.7086493659901834e-30,-0.4829135503480989,0.6169831590474175,0.5510444199252774,0.6908122190943338,5.56492528138373e-17,-0.5845770298354963,0.5573415508113841,0.49281220804679554,0.6303204327911912,1.2633651310369373e-20,-0.481860221469341,0.6176333876186962,0.54379168915046,0.7015020808745731,1.1958365839699744e-13,-0.3348107587760587,0.715473470617291,0.6263625839846046,0.8172619186489175,8.080952327102105e-07,-0.26959083548452784,0.7636919060473094,0.6807373445020944,0.8567552993420036,4.324080057550563e-06,-0.4703333649813911,0.6247939491382485,0.5704176367784206,0.6843538027408624,4.316669597516813e-24
2,subject_race_asian/pacific islander,-1.2164568259604536,0.2962780741496967,0.06848843748809354,1.2816863757055856,0.1035555522019486,-1.5204534717247842,0.21861272977979393,0.05161420724360171,0.9259374147938234,0.03897569461318526,-1.0094624343133851,0.3644148238322159,0.0854228343169852,1.5545979583852296,0.17261458107701788,0.17861451586749397,1.1955597860005964,0.6135243406128457,2.329757936700621,0.5997662366412643,0.1688868600953744,1.183986175262847,0.5528846461171193,2.5354715003545105,0.6637885283067559,-0.0028177156428403787,0.9971862503919543,0.4797197662825735,2.0728360344131347,0.9939781893303378,0.5002586085165192,1.6491476991987417,0.8377772078860105,3.246314304294786,0.14769389923709794,-1.1657569689856662,0.3116866355951784,0.10965037116498272,0.8859847693763788,0.028736962011751667,0.04816459583768052,1.0493433586600887,0.45317334858352126,2.429801946221679,0.9104828770693082,0.07644407721398074,1.0794418232551313,0.47533506005238996,2.451312237864251,0.8550517275936907,-0.5359084152501264,0.5851375008094368,0.23822120277681513,1.4372603733945897,0.24247419892759114,-0.22374775804553326,0.7995167806118453,0.43885506066381164,1.456579038904178,0.4647224003117649
3,county_type_Non core,-0.3781095792072512,0.6851554177646605,0.6071670807749896,0.7731610644850421,8.642100338786738e-10,-0.14496036611687824,0.8650565779826209,0.7731205448354938,0.9679252325007507,0.011450750632922004,-0.1715802114258598,0.8423327006032573,0.7486505766860974,0.9477377038114192,0.004340744311173639,-0.23527925626873758,0.79035010858619,0.711408071225219,0.878052020222931,1.1748297811356574e-05,-0.2522360148489824,0.7770613184152008,0.6811948488533679,0.8864193462319437,0.00017360783919187554,-0.10864462966832733,0.8970491455140088,0.7931314552619237,1.0145823420931783,0.08371873180447018,0.0341335432305489,1.0347227777244719,0.9094456821204516,1.1772569245098072,0.6041837784367533,-0.07546942716409749,0.927308080538404,0.8029559182256396,1.070918411227374,0.3042775724912825,-0.1836102162112867,0.8322601421230521,0.7214176291483713,0.96013309930388,0.011807119279088802,0.06406815279130354,1.0661650584102191,0.9269836831064295,1.2262437327544171,0.3693672702471743,-0.17441882203480819,0.8399450364906597,0.7358672481207316,0.958743124017316,0.00976067649153639,-0.4398332290007853,0.6441438366372667,0.5759577075552289,0.7204023434967068,1.3119482208891581e-14
4,county_type_Micropolitan,-0.24493941238084113,0.7827519618829734,0.6926386953433962,0.884589090893744,8.668257917250922e-05,-0.27750997260227467,0.7576680086435917,0.6699646306786059,0.8568524143438447,9.811061396568649e-06,-0.7977632914677371,0.4503351068496062,0.3893718285784046,0.5208433008666156,5.960732362607532e-27,-0.6266250364996199,0.534392315522238,0.46820969580788885,0.6099300152177828,1.5544778266959468e-20,-0.06698558359687405,0.935208683584983,0.8191467507792773,1.0677150107971627,0.321776077061231,-0.14184738976650296,0.8677536744723663,0.7584190379706638,0.9928501288352678,0.03898034290211697,-0.3213825540799876,0.7251457904409734,0.6278709921556478,0.8374911788629191,1.2247265202802012e-05,-0.4552430481487422,0.6342937852818099,0.542440630412938,0.7417007198388705,1.1719158603261927e-08,-0.7185202863945455,0.48747304304331146,0.4275467130671592,0.5557988412287928,6.886973829060134e-27,-0.4871653708514737,0.6143654264098013,0.5320245415231154,0.7094501244005073,3.2376703025925817e-11,-0.2955385931511384,0.7441306958205323,0.6570338418535252,0.8427731681221293,3.2670491265531777e-06,-0.31052483212351795,0.7330621206966235,0.6647295942055721,0.8084190586436302,4.974860193134818e-10
5,subject_sex_female,-0.11720865102103085,0.8893995996673734,0.7898567299429942,1.0014875076718972,0.05293882417737309,-0.3186441221229318,0.7271342742682326,0.6451265467450267,0.8195667276184142,1.7988260849811274e-07,-0.32427153073892884,0.7230538843669232,0.6359969851667991,0.8220273553041804,7.266757013501409e-07,-0.4255971041066598,0.6533795330284972,0.5849732644377347,0.7297851716195438,4.6057927351030534e-14,-0.19178923302274575,0.8254808342581369,0.7305862132477171,0.9327011588384075,0.0020829005291824187,-0.33976380985137306,0.7119384557558279,0.626804781497587,0.8086351281063803,1.70584461546831e-07,-0.18473800762869827,0.8313220553602424,0.7277814735303725,0.9495932293741418,0.006487473061648577,-0.33926757927540463,0.7122918290558485,0.6156929538331644,0.8240465423244171,5.0520627434508565e-06,-0.3950458925652063,0.6736491230531554,0.5875701964479458,0.772338596704996,1.4832955331597022e-08,-0.4566238313014921,0.6334185674912437,0.545551719259794,0.7354372967370251,2.0593202128080348e-09,-0.3419399490681776,0.7103908630616125,0.6248579588683607,0.8076318324173555,1.751139105115405e-07,-0.40004211636516707,0.6702918151862962,0.6048047742785244,0.7428696607788889,2.4108252530953772e-14
6,const,-0.7952714645819751,0.451458663249113,0.41135300113259304,0.4954745050151695,5.252548501552807e-63,-0.8221750573626365,0.4394747314516521,0.39962502633687824,0.4832981591640587,1.8318395102497016e-64,-1.159594664394366,0.3136132737494833,0.2860228391974347,0.34386514639125515,1.7497982559404756e-134,-0.7706392135910939,0.4627171986371421,0.4199980645711996,0.5097814108576879,8.130445581821947e-55,-1.1736525523084536,0.3092353775834962,0.27742091641347033,0.34469830171956084,1.2315006758307136e-99,-0.9248425146902343,0.3965938718659272,0.3591665116415561,0.4379213932911924,1.0643316913874919e-74,-0.8823373508053206,0.41381455064951145,0.3735549966833943,0.45841304185362897,4.816072301240529e-64,-0.7552563963354777,0.4698901211789981,0.4192882552339119,0.5265988809021988,1.363963911131452e-38,-0.6845569189050701,0.5043136319147108,0.4470203056715122,0.5689500814799666,9.397315246213256e-29,-1.0068959913270714,0.3653512748610317,0.3218590268011978,0.41472055442778827,1.1568837827249472e-54,-0.763148806758002,0.46619615182508156,0.41859099183257,0.5192153109292106,7.64926279557086e-44,-0.4210708021556073,0.6563436292202571,0.602774661641072,0.7146733050211301,3.2247663231559024e-22
