,variable,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
0,subject_race_black,-0.11418992814256089,0.8920885070782201,0.8223239201193636,0.967771804990825,0.005987956768416945,-0.052586431306564665,0.9487723138811376,0.8776935613600997,1.0256072770916078,0.1856486677944822,0.018567438138806368,1.0187408848422597,0.9406640985572566,1.1032981826785635,0.6481048524719787,0.017498831457474894,1.0176528329794559,0.9308904959424891,1.1125017313906418,0.7003306822771516,0.11853608786471106,1.1258475028012458,1.0227397019619573,1.239350146603529,0.015572640186642606,-0.044215515514701285,0.9567477412705502,0.8653253471387243,1.05782899282107,0.38821356278738417,-0.21915297894637983,0.8031988362429916,0.721900384961317,0.8936528972438007,5.696737349272143e-05,-0.31674902449457576,0.7285135712453098,0.6608994418397742,0.8030450472331668,1.8465417150441217e-10
1,subject_race_hispanic,0.5666102428658334,1.762283203206894,1.6600513950092453,1.8708108060039035,4.432966145547749e-77,0.5168400239003368,1.6767208715887418,1.581810276208664,1.777326221422553,1.0840220628243607e-67,0.5579681486541141,1.747119005329461,1.6476412267708362,1.85260284167917,1.1584401445431893e-77,0.5127127976385744,1.669814926176494,1.565452855674154,1.7811343711663878,1.1507838682309102e-54,0.3023184261402715,1.3529919861392758,1.2643203632109532,1.4478824891406632,2.2997782920785507e-18,0.2936970644845102,1.3413774912299268,1.2516501946852958,1.4375370863348054,9.227825381014793e-17,0.2782902676437571,1.3208695472605394,1.2322818858273987,1.4158256977938213,3.941066706560514e-15,0.3631267927880146,1.4378181526564535,1.3481189394430002,1.5334856440504927,2.225546168082327e-28
2,subject_race_asian/pacific islander,0.5588575580736272,1.7486736006631978,1.2823242699906812,2.3846225430004653,0.0004135706847085913,0.1869455275695581,1.2055616133901648,0.9217412418556539,1.57677527887756,0.17226359851625506,0.005092286235698209,1.0051052739616322,0.7972615749961689,1.2671332012336634,0.9656357644152559,-0.06946499698546443,0.9328927868728464,0.7088127082171147,1.2278122862503897,0.6201558683843387,0.036813090553303965,1.0374990843346388,0.802724687947168,1.340938389160467,0.7785312225210939,0.1619766420008843,1.1758327758992926,0.8858181301858576,1.560797493034998,0.26232022070069283,-0.27966165394780407,0.7560395011661651,0.5409479351532364,1.0566557152337883,0.10156350631485668,0.26227875023964353,1.2998888362569068,0.9700756227048566,1.7418342932006923,0.07900329540559041
3,county_type_Non core,-0.7226634951183594,0.48545751873094406,0.4565801257283569,0.5161613246228255,5.131601903669152e-118,-0.7105449036862237,0.4913763717017068,0.462554688233559,0.5219939280883854,1.869795317338737e-117,-0.6596945273856379,0.5170092425371468,0.484962320743813,0.551173865340433,8.656937556329064e-91,-0.6629359834212771,0.5153360929927748,0.4811494110498513,0.5519518108971402,6.549668958719728e-80,-0.9895876741213321,0.3717299332983709,0.3441094093804886,0.4015674652976996,2.918094750717966e-139,-0.8008128289759096,0.44896388490905154,0.41368555831759757,0.487250680861038,5.509630426070556e-82,-0.7945806086331132,0.4517706639136321,0.41376742460286586,0.4932643814791752,2.7762433963169976e-70,-0.7282526960955461,0.4827517676299998,0.44269419964044443,0.5264339793454976,5.3110596000019444e-61
4,county_type_Micropolitan,-0.2840872401330467,0.7527009761084692,0.7023934843605214,0.8066116387034159,8.330545475555396e-16,-0.3009279380813136,0.7401311060926175,0.6897159981428135,0.794231329534065,6.248171307693782e-17,-0.2196960150333393,0.8027627886954002,0.7489741267935878,0.8604143612715421,5.345913016808301e-10,-0.47553697268835093,0.6215512108154245,0.5738068964812996,0.6732681500259917,2.009074425425828e-31,-0.9466307705396494,0.3880462402569988,0.3556063406071628,0.4234454434093952,3.1140972097083814e-100,-0.9041898758413477,0.40486974704383566,0.37098656908646255,0.44184756465708114,2.0627779643577784e-91,-0.5961047819416391,0.5509535459844042,0.5062540529374331,0.5995997623554907,2.2721122846293633e-43,-0.6825119291138976,0.5053460033782974,0.4662503909430704,0.5477198262802092,5.5986909833730995e-62
5,subject_sex_female,-0.4850802812105626,0.6156477698320424,0.5796515386580411,0.6538793589276873,4.239996806766692e-56,-0.480482774534957,0.6184847310406294,0.5826312326692913,0.6565445535384209,5.037928905891226e-56,-0.49017431489297697,0.6125196135870735,0.5767035178463709,0.6505600632191788,3.0902713406452604e-57,-0.38343275027067025,0.6815179084025741,0.6374642205098864,0.728616045465121,2.420296163222789e-29,-0.3619463458266171,0.696319727298895,0.6480405289909243,0.7481957392087708,5.473281935109489e-23,-0.38858866577955653,0.6780131026543671,0.6291152506211019,0.7307115300688627,2.5642761771008693e-24,-0.4245417038107108,0.6540694739989326,0.6055590539058995,0.706465990489045,3.5295246039377515e-27,-0.4072392421735474,0.6654849591867827,0.6201982460783003,0.7140784961973616,9.829884200478512e-30
6,const,1.1348081470951892,3.1105767124772066,2.986625680409049,3.2396719641412584,0.0,0.881053993380021,2.41344211835498,2.320440408428543,2.5101712750272256,0.0,0.78310954119659,2.188266200913665,2.10294889486994,2.277044857220497,0.0,0.7861508633195314,2.1949315539265006,2.0992425749796446,2.294982287346624,7.741747147164372e-262,0.9983500411194701,2.713800473258958,2.58267571908774,2.8515825483742603,0.0,0.701942539268575,2.0176683030497453,1.9160582634961583,2.1246668009476224,3.4810164797638787e-156,0.6648990350697705,1.9442942058976664,1.8447223393637928,2.04924062468446,1.1703907995487236e-135,0.5913146759002186,1.8063616351574485,1.7185938461271035,1.8986116843847765,9.277498491528321e-120
