geoid,County Name,State,metro code,Metropolitan Status,Total Population,"Total population, MOE",Disabiltiy Population,"Disability Population, MOE",Disabitiy Rate,"Disability Rate, MOE",Male Disabiltiy Rate,Female Disability Rate,Vision Disabiltiy Rate,Hearing Disabiltiy Rate,Cognative Disabitliy Rate,Mobility Disabiltiy Rate,Self Care Disabiltiy Rate,Independent Living,Disability Employment Rate,Disability Unemployment Rates,Out of the Labor Force Disability Rate,Veteran Disability Rate ,Disability Poverty Rate ,Disability Rate-Black/African America,Disability Rate-White,Disability Rate-Asian,Disability Rate-American Indian/Alaskan Native,Disability Rate-Native Hawaiian Pacific Islander,Disability Rate-Other race,Disability Rate-Two or more races,Disability Rate- Hispanic (of any race),,,,
0500000US20125,Montgomery,Kansas,,Micropolitan,32940,116,5945,437,18,1.3,19.5,16.7,2.9,5.7,7.3,10.4,3.4,7.9,30.8,6.9,62.2,38.8,25.4,13.7,19,1.7,16.1,0,4.3,14.3,9.1,,,,
0500000US20127,Morris,Kansas,,Non core,5525,97,883,123,16,2.1,18.2,13.8,2,7.5,4.4,7.5,2.3,5.6,41.4,0.8,57.8,36.6,14.4,,16.4,0,18.2,,10.3,5,2.9,,,,
0500000US20129,Morton,Kansas,,Non core,2847,79,439,114,15.4,3.9,12.7,18.4,4.5,5.9,6.6,9.1,1.6,6.8,31.7,0,68.3,40.7,13,0,15.7,0,100,,0,19,12.5,,,,
0500000US20131,Nemaha,Kansas,,Non core,9824,112,1296,144,13.2,1.4,12.9,13.5,2.1,4.9,4,8.4,2.9,5.8,55,1.3,43.7,33.9,20.6,0,13.5,0,3.1,0,10,5.5,10.3,,,,
0500000US20133,Neosho,Kansas,,Non core,16001,48,2948,246,18.4,1.5,19.8,17.1,3.8,6.4,7.5,11.1,4.1,7.6,40.2,3.9,55.8,43.2,27.6,30.2,18.3,0,15.8,0,29.9,19.5,15.6,,,,
0500000US20135,Ness,Kansas,,Non core,2950,59,432,66,14.6,2.1,13,16.4,3.1,5.8,3.1,7.6,2.8,4.3,50,2.3,47.7,33.1,8.6,0,14.7,0,0,,10.8,50,9.1,,,,
0500000US20137,Norton,Kansas,,Non core,4720,162,686,142,14.5,3,16.2,12.8,1.8,5.4,6.1,7.7,5.2,7.5,42.9,1.2,56,24.9,13,,15,0,0,0,0,3,1.9,,,,
0500000US20139,Osage,Kansas,,Metropolitan,15683,96,2570,215,16.4,1.3,18.6,14.2,2,5,5.4,8.1,3.2,6.5,38.8,6.6,54.7,34,21.2,77.1,15.9,16.7,8.3,,0,18.7,7.3,,,,
0500000US20141,Osborne,Kansas,,Non core,3583,70,666,92,18.6,2.4,18.5,18.7,2.4,7.2,6,9.1,2.8,4.3,39.2,6.3,54.5,47.2,19.8,0,19.2,0,0,,0,4.3,0,,,,
0500000US20143,Ottawa,Kansas,,Micropolitan,5869,34,730,95,12.4,1.6,12.3,12.5,1.6,4.3,4.1,7.1,2,4,43.9,5.4,50.7,25.9,12.8,0,12.5,40.9,0,,0,10.4,21.1,,,,
0500000US20145,Pawnee,Kansas,,Non core,5699,249,922,194,16.2,3.5,17.4,15,3.8,5.9,4.8,8.3,2.7,3.4,51.6,0.7,47.7,44.2,10.1,29.9,15.7,0,0,,31.3,16.7,7.6,,,,
0500000US20147,Phillips,Kansas,,Non core,5345,84,868,108,16.2,2,15.8,16.7,3.9,5.4,4.7,9.1,2.5,5.3,50.6,0.8,48.6,29.7,8.1,50,16.1,0,6.7,100,,17.5,10.7,,,,
0500000US20149,Pottawatomie,Kansas,,Metropolitan,22632,164,2272,266,10,1.2,9.9,10.2,1.6,2.5,4,5.1,1.7,4.6,35.7,2.2,62.1,26.1,19.8,34.8,9.8,1,16.8,,3.6,14.3,9.2,,,,
0500000US20151,Pratt,Kansas,,Non core,9440,105,1064,147,11.3,1.6,11.7,10.8,1.7,3.8,3.2,5.6,1.9,3.8,51.6,3,45.3,28.9,14.3,0,11.6,0,1.2,,0,0,7.9,,,,
0500000US20153,Rawlins,Kansas,,Non core,2481,55,386,68,15.6,2.7,18.1,12.8,2.2,6,5.7,8.7,2.4,5.9,48.4,5.5,46.1,34.9,12.2,0,16,0,9.1,,10.3,0,2,,,,
0500000US20155,Reno,Kansas,,Micropolitan,60842,256,9001,505,14.8,0.8,15.2,14.4,2.5,4.3,5.7,7.9,2.8,6.1,37.7,4.5,57.8,29.3,19.4,13.4,14.7,27.2,34.8,0,16.6,12.1,8.7,,,,
0500000US20157,Republic,Kansas,,Non core,4610,84,615,83,13.3,1.7,13.8,12.9,3.3,4.6,4.3,7.2,2.7,5.2,50.2,3.1,46.6,27.2,17.4,0,13.4,0,83.3,,,0,2.6,,,,
0500000US20159,Rice,Kansas,,Non core,9661,71,1582,169,16.4,1.7,19,13.7,2.8,6.6,4.8,9,2.5,6.7,43.2,5.4,51.3,32.9,25.5,15.4,15.9,40.3,0,0,10.7,36.7,6.8,,,,
0500000US20161,Riley,Kansas,,Metropolitan,68618,488,6646,630,9.7,0.9,9.6,9.8,1.9,2.6,4.4,4.1,1.2,2.9,45,9,46.1,23.4,22,11.1,9.8,2.9,23.7,6.7,15.4,10.1,9.6,,,,
0500000US20163,Rooks,Kansas,,Non core,4949,78,677,109,13.7,2.2,13.6,13.7,2.9,5.3,5.1,7.6,2.5,5.5,34.5,3.4,62.2,43.4,17,0,13.5,0,0,,54.5,27,11.1,,,,
0500000US20165,Rush,Kansas,,Non core,3051,123,480,68,15.7,2.1,15.4,16.1,2.6,5.7,4,8.4,2.6,5.4,50.6,0,49.4,36,11.9,,15.9,0,0,,0,20.8,4.3,,,,
0500000US20167,Russell,Kansas,,Non core,6867,32,1190,206,17.3,3,15.6,19.1,3,5.8,5.6,10.1,2.2,9.4,32.5,0,67.5,17.2,16.7,25.6,17.3,,38.5,9.3,,15.5,22.8,,,,
0500000US20169,Saline,Kansas,,Micropolitan,54446,222,7550,578,13.9,1.1,13.3,14.4,2.6,4.6,5.1,7.7,2.3,6.3,41.2,3,55.8,24.9,23.2,19.3,14.5,5.1,19.8,100,4.1,8.2,5.4,,,,
0500000US20171,Scott,Kansas,,Non core,4884,99,512,144,10.5,2.9,9.8,11.2,0.3,4.8,3.1,5.3,1.6,3.8,24,0,76,20.9,18.6,,11.1,0,0,,0,0,0,,,,
0500000US20173,Sedgwick,Kansas,,Metropolitan,504644,482,62063,1750,12.3,0.3,12,12.6,2.3,3.5,5,6.9,2.5,5.4,41.2,6.4,52.5,28.6,20.3,15.3,12.3,7.4,17.2,7.2,9.3,11.2,7,,,,
0500000US20175,Seward,Kansas,,Micropolitan,22750,124,1926,286,8.5,1.3,7.5,9.5,2,2.4,3.5,4.4,1.3,3.7,36.8,8.6,54.7,18.6,15.6,11.5,10.9,9.3,29.7,,2.9,2,4,,,,
0500000US20177,Shawnee,Kansas,,Metropolitan,175061,333,24698,998,14.1,0.6,14,14.2,2.3,4,5.8,7.9,3.2,6.7,35.9,5,59.1,29.3,21.8,16.6,14.2,5.7,16.6,0,8.7,12.6,8.5,,,,
0500000US20179,Sheridan,Kansas,,Non core,2471,39,377,76,15.3,3,15.1,15.5,2.1,5.4,4.1,8.5,2.7,5.2,30.6,6.5,62.9,40.6,4.2,0,15,,48.4,,0,0,0,,,,
0500000US20181,Sherman,Kansas,,Non core,5902,102,1009,246,17.1,4.2,19,15.2,2.2,7,3.5,9.5,1.9,6.5,46.5,3.6,49.9,21.7,29.2,36.8,17.8,0,0,,10.5,0,22.6,,,,
0500000US20183,Smith,Kansas,,Non core,3631,51,670,76,18.5,2,18,18.9,3.2,7.5,6,9.8,3.1,5,38.7,10.6,50.6,38.3,18.1,0,18.2,0,0,,100,33.3,21.4,,,,
0500000US20185,Stafford,Kansas,,Non core,4131,48,625,88,15.1,2.1,14.9,15.4,4.4,6.1,3.9,7.2,3.7,6.3,46.4,4.4,49.2,31.6,20,0,15.6,0,0,,16.7,0,3.9,,,,
0500000US20187,Stanton,Kansas,,Non core,2079,13,287,88,13.8,4.2,13.6,14,1.5,4.4,2.8,8.7,0.3,3.2,79.8,0,20.2,41.3,15.7,,15.5,,0,,4.3,5.5,12.1,,,,
0500000US20189,Stevens,Kansas,,Non core,5630,102,546,137,9.7,2.4,11.8,7.5,1.2,4,2.1,4.4,0.3,2.1,40.2,5.6,54.1,13.9,17.2,,9.5,60,52.9,0,9.3,7.2,8,,,,
0500000US20191,Sumner,Kansas,,Metropolitan,22853,91,3201,277,14,1.2,14.6,13.4,2.3,4.8,4.6,8.3,3.4,6.6,33,5.9,61.1,28.8,21.4,13.1,13.5,0,16.5,,29,29.4,19.3,,,,
0500000US20193,Thomas,Kansas,,Non core,7734,59,984,196,12.7,2.5,18.3,7.3,1.6,6.3,3.9,4.3,1.2,2,66.4,0,33.6,39.5,23.9,9.8,12.8,0,47.8,0,2.9,1.1,2.8,,,,
0500000US20195,Trego,Kansas,,Non core,2819,48,356,83,12.6,2.9,14.7,10.5,1,5.9,3.7,5.2,1.2,3.8,63.5,0.6,35.8,31,7.6,50,13.1,0,0,,0,0,3,,,,
0500000US20197,Wabaunsee,Kansas,,Metropolitan,6820,49,1056,139,15.5,2,16.8,14.2,1.9,5.2,5.9,7.8,1.8,4.7,45.4,7.7,46.9,31.4,9.2,0,15.5,26.3,66.7,,11.1,13.8,10.7,,,,
0500000US20199,Wallace,Kansas,,Non core,1571,93,269,50,17.1,3,19.5,14.7,3.8,7.2,6.5,8.6,1.3,4,55.1,0,44.9,46.8,11.2,,16.5,,83.3,,40,15,23.5,,,,
0500000US20201,Washington,Kansas,,Non core,5435,29,721,82,13.3,1.5,12.7,13.9,2.1,5.4,4.7,8.4,2.9,4.9,43.2,2.6,54.1,33.2,9.6,0,13.3,0,50,,0,17.9,1.1,,,,
0500000US20203,Wichita,Kansas,,Non core,2130,13,402,102,18.9,4.8,22.1,15.9,3.7,8,4.6,10.6,1.9,4.8,76,6.1,17.9,41.5,3.2,0,19.1,100,100,,12.5,0,20.6,,,,
0500000US20205,Wilson,Kansas,,Non core,8727,87,1823,180,20.9,2,21.4,20.4,4.8,7.6,7.6,13,3.7,8.6,45,9.9,45,49.9,21.2,81.4,20.9,0,31.1,,44.4,14.9,16.7,,,,
0500000US20207,Woodson,Kansas,,Non core,3169,8,696,96,22,3,20.3,23.6,6.1,9.2,6.7,13.2,6.1,8.5,41.3,8.9,49.9,29.9,27.9,52.9,20.4,0,95,,100,39.3,52,,,,
0500000US20209,Wyandotte,Kansas,,Metropolitan,161957,216,23651,900,14.6,0.6,14.9,14.3,2.8,3.7,6.1,8.8,2.8,6.5,35.9,5.7,58.4,35.8,26.5,19,14.2,8.7,15.4,14.1,8.9,11.7,6.8,,,,
0500000US21001,Adair,Kentucky,,Non core,19031,63,3522,340,18.5,1.8,16.1,20.9,3.4,6,6.7,12.2,4.6,8.9,28.7,2.1,69.2,37.6,27.7,8.8,18.9,0,22.2,,0,27.7,7.9,,,,
0500000US21003,Allen,Kentucky,,Metropolitan,20433,110,4102,350,20.1,1.7,19.2,21,3.1,5.8,9,11.3,4,10.1,31,1.5,67.5,50.7,26,19.3,20.5,0,0,,0,3.4,8.8,,,,
0500000US21005,Anderson,Kentucky,,Micropolitan,21912,105,3694,346,16.9,1.6,15.8,17.9,3.3,3.5,6.6,9.8,2.2,6.6,32.7,3.1,64.2,33.5,19.7,35.4,16.1,0,,,0,49.5,20.2,,,,
0500000US21007,Ballard,Kentucky,,Micropolitan,8034,114,1230,172,15.3,2.1,15.3,15.3,3.3,5.5,4.6,8.3,3.3,6.1,27.1,2.9,70,38,27.6,18.6,14.9,3,77.1,,0,18.9,28,,,,
0500000US21009,Barren,Kentucky,,Micropolitan,42693,162,8836,636,20.7,1.5,20.2,21.2,3.9,5.8,9.9,12.3,4.6,9.6,30.1,5.8,64.1,34.9,34.3,20.2,20.7,7.7,0,,4.2,31.7,8.7,,,,
0500000US21011,Bath,Kentucky,,Micropolitan,12099,22,2859,317,23.6,2.6,22.7,24.5,5.2,7.4,9.4,14.9,3.1,8.8,26.9,3.4,69.7,39.7,30.1,48.3,24,0,0,,0,5.9,1.6,,,,
0500000US21013,Bell,Kentucky,,Micropolitan,26625,195,8593,452,32.3,1.7,32.9,31.7,8.7,10.4,16.3,21.6,7.2,17.6,14.7,4.4,80.8,61,39.3,31.8,32.5,0,100,,33.3,17.6,36.7,,,,
0500000US21015,Boone,Kentucky,,Metropolitan,126397,248,14070,855,11.1,0.7,11.6,10.7,2.3,3.6,4.7,5.8,2.1,4.4,43.5,5.4,51,27.3,11.9,5,11.6,4.8,27.2,,5.7,9.2,7.1,,,,
0500000US21017,Bourbon,Kentucky,,Metropolitan,19795,81,3059,291,15.5,1.5,16.8,14.2,2.3,5.1,6.1,9.1,2.9,6.2,28.1,7.3,64.6,34,21.8,27.5,14.7,0,0,,5.8,13.1,1.7,,,,
0500000US21019,Boyd,Kentucky,,Metropolitan,46524,274,10169,608,21.9,1.3,23,20.8,4.2,5.8,8.9,12.9,5.1,11.4,21,6.6,72.4,38.3,26.1,16.1,21.9,0,65.9,,0,25.3,9.1,,,,
0500000US21021,Boyle,Kentucky,,Micropolitan,28415,276,4997,350,17.6,1.2,16.2,18.9,3.4,5.3,5.8,10.6,3.3,7.8,23.6,4.9,71.5,33.7,25.3,16.3,18.3,0,1.7,,11.6,5.9,6.8,,,,
0500000US21023,Bracken,Kentucky,,Metropolitan,8296,50,1170,167,14.1,2,15.7,12.5,3.1,4.1,5,7.4,2.6,6.3,35.3,7.9,56.8,31.5,20,,14.1,0,0,,0,28.3,10.4,,,,
0500000US21025,Breathitt,Kentucky,,Non core,13134,43,4440,284,33.8,2.2,34.3,33.3,11.3,11.3,16.3,21.6,8.1,15.6,20.1,4.9,75,51.2,41.6,9.7,34.1,0,40,,100,19.8,26.9,,,,
0500000US21027,Breckinridge,Kentucky,,Non core,19719,71,4432,392,22.5,2,22.7,22.3,2.5,6.4,8.3,12.8,3.8,9.5,27.3,8.4,64.3,42.7,24.1,13.4,22.2,71.8,0,,26.5,36.4,16.1,,,,
0500000US21029,Bullitt,Kentucky,,Metropolitan,78282,128,12276,710,15.7,0.9,16,15.3,2.7,4.8,6.2,8.1,2.5,6.7,35.4,3.6,61,31.5,19.6,9.1,15.6,14.7,29.7,30.5,7,25.5,9.9,,,,
0500000US21031,Butler,Kentucky,,Metropolitan,12521,108,2877,285,23,2.2,24.1,21.9,5.3,8.4,7.5,13.8,4.5,10.4,29.1,2.8,68.1,63.4,24.9,56.3,23.1,100,100,0,0,17,1.5,,,,
0500000US21033,Caldwell,Kentucky,,Non core,12629,99,2480,317,19.6,2.5,23.2,16.4,2.3,4.8,5.3,13.5,3,8.6,25.6,2.9,71.5,48.8,19.4,4.4,20.7,,,,,24.3,0,,,,
0500000US21035,Calloway,Kentucky,,Micropolitan,38206,152,5332,524,14,1.4,13,14.8,2.8,4.2,5.3,7.7,2.8,5.9,36,5.8,58.2,35.1,22.5,10.8,14.4,5.5,47,0,0,6.7,8.2,,,,
0500000US21037,Campbell,Kentucky,,Metropolitan,90204,253,10705,678,11.9,0.7,11.6,12.1,1.9,3.4,5,6,2.1,5.2,36.7,4,59.2,26.8,22,5.9,12.1,10.6,41.5,0,3.3,11.2,7.1,,,,
0500000US21039,Carlisle,Kentucky,,Non core,4821,76,735,107,15.2,2.2,16.8,13.7,3.1,3.8,5.9,11.2,3.4,7.2,28.3,5.3,66.4,39.5,19.2,0,15.1,83.3,48.3,,42.9,11.9,12.6,,,,
0500000US21041,Carroll,Kentucky,,Non core,10411,101,1806,273,17.3,2.6,17.7,17,4.3,6.1,6.6,9.5,2.6,7.8,21.3,4.5,74.2,33,35.3,30.2,17.6,0,0,,5,24.3,3.8,,,,
0500000US21043,Carter,Kentucky,,Non core,27077,156,5298,467,19.6,1.7,21.2,18,3.3,6,7.8,12.8,4.4,9.2,18.3,5,76.7,37.4,27.5,3.5,19.6,0,20.6,0,0,37,28.5,,,,
0500000US21045,Casey,Kentucky,,Non core,15462,104,3366,324,21.8,2.1,23.4,20.2,3.8,6.1,6.5,14.7,5.2,10.8,15,4.5,80.4,48.9,41.2,30.5,21.8,0,51.9,,0,13.3,3.9,,,,
0500000US21047,Christian,Kentucky,,Metropolitan,63103,453,10196,697,16.2,1.1,15.3,17,3.7,4.5,7.3,9.1,3.3,7.9,31.9,4.3,63.8,26.8,26.7,15.5,16.8,9.7,27,7.7,12.1,9.8,6.2,,,,
0500000US21049,Clark,Kentucky,,Metropolitan,35343,174,6305,460,17.8,1.3,18,17.7,3.3,4.7,7.4,11.9,4.6,8.8,27.2,2.3,70.6,39.9,22.2,16.9,17.5,13.6,0,,31.1,43.5,8.4,,,,
0500000US21051,Clay,Kentucky,,Non core,19352,237,4933,441,25.5,2.3,25.7,25.3,6.4,7.7,11.6,17.2,6.1,12.9,12.1,3.9,84,43.6,49.4,34.1,25.2,,38.1,0,11.4,44,4,,,,
0500000US21053,Clinton,Kentucky,,Non core,10055,94,1615,227,16.1,2.3,16.4,15.8,2.8,5.6,7.1,9.4,3.9,7.6,21.2,0.9,77.9,33.9,32.1,0,16,0,,,0,45.7,4,,,,
0500000US21055,Crittenden,Kentucky,,Non core,8952,124,1597,205,17.8,2.3,18.2,17.5,3.4,4.9,6.2,10.1,4.2,6.9,22.2,2.8,75,29.4,30.9,41.7,17.5,,,,0,21.4,0,,,,
0500000US21057,Cumberland,Kentucky,,Non core,6656,89,1059,179,15.9,2.6,18.3,13.5,2.2,4.4,6,8.8,4.9,6.5,23.7,2.3,74,42.6,33.6,13,15.3,0,,,33.7,36.8,0,,,,
0500000US21059,Daviess,Kentucky,,Metropolitan,97254,499,15420,794,15.9,0.8,15.3,16.4,2.7,4.1,6.9,9.2,3.5,7.2,32.6,4.5,62.9,30.5,24.1,13,16.2,6.3,35.2,,3.1,12.4,7,,,,
0500000US21061,Edmonson,Kentucky,,Metropolitan,11969,95,3343,412,27.9,3.4,28.5,27.3,5.6,8.6,11.4,15.7,5.3,9.8,23.8,3.7,72.5,46.3,31.1,19.8,28,0,72.3,,0,24.4,30.5,,,,
0500000US21063,Elliott,Kentucky,,Non core,6294,847,1279,253,20.3,2.7,22.2,18.5,4,6.3,7.4,12.8,3.1,8.5,15.2,1.1,83.7,35.4,38.9,,20.4,,,,0,0,50,,,,
0500000US21065,Estill,Kentucky,,Non core,14260,91,3654,315,25.6,2.2,24.2,27,6.7,7.4,9.8,16.8,4.8,12.8,15.4,5.2,79.4,35.2,37.8,0,25.1,,80.7,0,0,43.5,2.8,,,,
0500000US21067,Fayette,Kentucky,,Metropolitan,309986,431,36825,1243,11.9,0.4,11.5,12.2,2.1,3.1,5.3,6.4,2.4,4.9,40.4,5.8,53.7,26.5,24.9,15,11.9,4.4,13.4,23.3,4.8,12.8,6.5,,,,
0500000US21069,Fleming,Kentucky,,Non core,14515,18,3394,313,23.4,2.2,22.1,24.6,4.7,7.7,9.5,15,3.4,9.5,28.1,4.1,67.8,35.6,25.4,14.6,23.7,0,100,,0,29.9,0,,,,
0500000US21071,Floyd,Kentucky,,Non core,36943,126,10784,620,29.2,1.7,30.5,27.9,7.2,8.6,12.8,20.5,6.5,14.5,13.3,4.1,82.7,47.8,31.4,6.7,29.4,4.3,0,,73,29.6,17.1,,,,
0500000US21073,Franklin,Kentucky,,Micropolitan,49196,188,8128,651,16.5,1.3,15.5,17.5,2.3,4.9,6.4,9.7,2.7,7.1,38.7,8,53.3,29.3,20,11.1,17.7,7.3,72.7,0,6.7,8.2,5.8,,,,
0500000US21075,Fulton,Kentucky,,Micropolitan,5841,112,1445,180,24.7,3.1,24.5,25,5.2,4.2,9.8,13.7,5.8,11.7,29.3,4.5,66.2,40.9,27.3,21.8,25.3,0,100,,0,35.8,16.7,,,,
0500000US21077,Gallatin,Kentucky,,Metropolitan,8542,107,1203,216,14.1,2.5,14.8,13.4,3.1,3.6,5,7.9,2.1,6.3,15,4.9,80,27.5,25.1,16.8,14.5,0,,,0,10.6,2.7,,,,
0500000US21079,Garrard,Kentucky,,Non core,17123,104,3537,307,20.7,1.8,20.9,20.4,4,5.8,9.1,12.8,4.1,8.8,31.3,4,64.7,31.9,26.3,24.5,20.8,0,0,,0,18.8,16.1,,,,
0500000US21081,Grant,Kentucky,,Metropolitan,24372,152,4002,445,16.4,1.8,18,14.9,2.8,4.1,7.7,10.4,3.5,7.6,27.2,1.5,71.3,34.1,19,12.1,17.1,0,0,,0,3.6,3.2,,,,
0500000US21083,Graves,Kentucky,,Micropolitan,36866,108,6086,557,16.5,1.5,17.5,15.5,3.4,4.6,6.4,9,3.4,7.8,31.4,4.5,64.1,29.4,27.1,12,16.9,0,14,0,2.2,29.3,2.5,,,,
0500000US21085,Grayson,Kentucky,,Non core,25803,122,5020,390,19.5,1.5,20.8,18.2,4.2,6.4,8.6,10.9,4.4,9.8,23.6,4.9,71.5,35.5,38.5,0,19.8,0,5.7,0,0,30.2,3.2,,,,
0500000US21087,Green,Kentucky,,Non core,10924,110,2838,234,26,2.1,26.6,25.4,4.9,7.6,11.3,14.7,6.1,11.7,30.7,3.1,66.2,38.5,27,36.7,25.9,0,,,,18.6,0,,,,
0500000US21089,Greenup,Kentucky,,Metropolitan,35605,97,7275,410,20.4,1.2,20.5,20.4,3.5,5.5,7.1,13.3,4.4,10.5,26.6,2.6,70.7,37.9,19.4,33.1,20.3,12.4,48,,17.8,26.6,13.7,,,,
0500000US21091,Hancock,Kentucky,,Metropolitan,8653,71,1575,173,18.2,2,16.8,19.7,2.7,5.1,7.8,8.7,3,8.8,39,5.5,55.5,33.4,24.6,30.6,17.9,0,0,,,39,29.1,,,,
0500000US21093,Hardin,Kentucky,,Metropolitan,102841,543,18224,928,17.7,0.9,17.9,17.6,3.1,5.1,7.5,10,3.6,8.2,41,5.4,53.6,33.3,21.1,19.4,17.6,18.4,65.3,11.1,16.9,13.5,12.2,,,,
0500000US21095,Harlan,Kentucky,,Non core,27072,164,8999,379,33.2,1.4,34.5,32,11.4,12.4,15.5,20.5,6.3,15.4,17.3,4.3,78.4,55.5,41.7,35.5,33.3,0,88.9,,4.6,45,16.4,,,,
0500000US21097,Harrison,Kentucky,,Non core,18424,57,3318,342,18,1.9,17.9,18.1,3.2,6.9,5.8,9.9,3.3,6.8,33.4,4,62.6,34,21.4,61.6,17.4,,,,3.9,20.6,8.4,,,,
0500000US21099,Hart,Kentucky,,Non core,18265,132,3857,340,21.1,1.8,19.9,22.3,4.8,5.4,9.1,12.9,4.1,11.6,26.5,6.4,67.1,35.7,32.9,23.8,21.1,14.9,16.3,100,0,21.2,10.6,,,,
0500000US21101,Henderson,Kentucky,,Metropolitan,45303,407,9231,558,20.4,1.2,20.3,20.5,2.9,5,9.1,11.6,3.5,8.9,32,3.7,64.3,37.3,31.2,25.5,20.4,10,30.6,,2,13.2,10.6,,,,
0500000US21103,Henry,Kentucky,,Metropolitan,15598,74,2738,249,17.6,1.6,18.1,17.1,2.7,5.1,7,11.3,3,7.1,31,4,65,37.1,23,16.3,17.8,0,66.7,0,0.3,23.7,0.8,,,,
0500000US21105,Hickman,Kentucky,,Non core,4463,120,1053,221,23.6,4.7,25.4,22,4.6,8.3,9.2,15.1,8.9,17.1,15.4,2.2,82.4,33.1,21.1,13.3,25.6,0,0,,0,0,4.8,,,,
0500000US21107,Hopkins,Kentucky,,Micropolitan,44962,203,8089,479,18,1.1,18.9,17.2,2.7,5.2,7.3,11.8,4.3,9.3,27.1,4.1,68.8,33.1,23.1,14.4,18.4,0,32.9,,22.1,14.2,16.3,,,,
0500000US21109,Jackson,Kentucky,,Non core,13261,82,4148,536,31.3,4.1,31.6,30.9,10.8,10.9,15.6,17.5,5.7,12.6,24.5,2.8,72.8,45.7,44.3,0,31.3,,100,,,34.8,,,,,
0500000US21111,Jefferson,Kentucky,,Metropolitan,756073,775,107484,1911,14.2,0.3,13.5,14.8,2.3,3.3,6.2,8.3,2.9,6.6,35.1,6.4,58.5,29.2,23.5,16,14.2,4,27,16.6,8.1,11.5,7.4,,,,
0500000US21113,Jessamine,Kentucky,,Metropolitan,51100,109,7587,648,14.8,1.3,14.5,15.2,2.1,3.6,6.5,8.4,3.1,7.2,31.8,7,61.1,23.7,26.2,15.5,14.7,7,21.3,0,19.1,24.2,10.2,,,,
0500000US21115,Johnson,Kentucky,,Non core,22595,217,6604,608,29.2,2.7,30.7,27.8,6.5,8.1,12.3,17.5,5.2,11.9,14.5,2,83.6,60.4,34.4,68.2,29.6,6.4,100,,0,0,0,,,,
0500000US21117,Kenton,Kentucky,,Metropolitan,162466,219,23047,950,14.2,0.6,14.5,13.9,2.4,4.1,6.1,7.3,2.7,6.5,36.6,6.6,56.8,26.9,23.4,14.7,14.5,9.5,39.8,2.6,1.7,10.3,5.7,,,,
0500000US21119,Knott,Kentucky,,Non core,15525,37,5129,473,33,3,35.9,30.1,10.7,9.9,14.4,19.7,7.2,14.2,18.9,4.6,76.5,63,35.8,38.1,33.4,0,0,0,0,13.1,15.3,,,,
0500000US21121,Knox,Kentucky,,Micropolitan,31073,129,5230,483,16.8,1.6,16,17.6,4.1,4.2,6.4,11.6,5.6,10.5,10.3,3.7,86,34.8,38,4.1,17.1,0,17.2,,,8.6,7.1,,,,
0500000US21123,Larue,Kentucky,,Metropolitan,13821,145,2923,276,21.1,1.9,20.1,22.1,3.6,5.3,10.2,11.2,2.7,10.6,25.9,7.2,66.9,26.4,26.7,6.3,21.6,60.4,7.1,,7.7,31.5,20,,,,
0500000US21125,Laurel,Kentucky,,Micropolitan,59108,184,10912,753,18.5,1.3,18.5,18.4,3.7,5.5,7.3,10.9,3.6,9.3,19.2,3.6,77.2,33.2,29.7,27.2,18.4,10.7,16.1,,16.7,20.5,7.5,,,,
0500000US21127,Lawrence,Kentucky,,Non core,15735,92,3610,350,22.9,2.2,22,23.8,4.7,6.7,8.7,16.8,4.3,10.4,14.7,3.1,82.2,34.1,38.4,6.1,23.3,0,,,0,8.5,14.2,,,,
0500000US21129,Lee,Kentucky,,Non core,6087,144,1973,208,32.4,3.4,33,31.9,10.8,13,17.4,21.9,6.1,12.6,16.3,2.8,80.9,43.5,45.9,0,32.7,31,27.3,,,28.6,27.3,,,,
0500000US21131,Leslie,Kentucky,,Non core,10376,150,3410,379,32.9,3.6,34.7,31,8.8,11.7,15.5,25.5,9.1,17.6,10.6,2,87.5,54.5,41.5,,33,16.7,,,32,26.3,20.9,,,,
0500000US21133,Letcher,Kentucky,,Non core,22833,82,6907,420,30.3,1.8,32.3,28.3,9.9,10.2,11.4,19.3,6.9,13.7,24,5.5,70.5,54.4,35.8,13.7,30.5,0,46.5,,0,14.6,9.9,,,,
0500000US21135,Lewis,Kentucky,,Non core,13421,85,2986,278,22.2,2.1,23.6,20.9,4.4,6.5,8.6,16.1,4.4,9.4,22.7,1.7,75.6,40.5,35.6,57.4,22.4,0,14.4,,,0,0,,,,
0500000US21137,Lincoln,Kentucky,,Micropolitan,24178,81,5042,430,20.9,1.8,19.5,22.1,4,4.8,8.5,12.9,5.7,10.9,20.8,2.2,77,43.8,33.2,20.9,20.9,0,94.3,0,0,17.5,7.8,,,,
0500000US21139,Livingston,Kentucky,,Micropolitan,9229,87,1976,283,21.4,3,23,19.9,4.2,6.3,8,13.2,2.7,9,21,1.9,77.1,57.1,25.2,58.8,21.5,0,0,0,0,17.9,9,,,,
0500000US21141,Logan,Kentucky,,Non core,26559,101,3915,388,14.7,1.5,15.8,13.8,3.1,4.3,6.1,8.6,3.5,7,18,5.8,76.2,32.8,25.2,10.6,15.3,13.2,60.4,0,0,3.1,21.3,,,,
0500000US21143,Lyon,Kentucky,,Non core,6895,311,1455,167,21.1,2.3,24.9,17.2,3.2,8.2,7.8,14,3.9,8,32.5,0.4,67,52.3,22.3,12.5,21.5,0,25.6,,,9.9,5.1,,,,
