geoid,County Name,State,metro code,Metropolitan Status,Total Population,"Total population, MOE",Disabiltiy Population,"Disability Population, MOE",Disabitiy Rate,"Disability Rate, MOE",Male Disabiltiy Rate,Female Disability Rate,Vision Disabiltiy Rate,Hearing Disabiltiy Rate,Cognative Disabitliy Rate,Mobility Disabiltiy Rate,Self Care Disabiltiy Rate,Independent Living,Disability Employment Rate,Disability Unemployment Rates,Out of the Labor Force Disability Rate,Veteran Disability Rate ,Disability Poverty Rate ,Disability Rate-Black/African America,Disability Rate-White,Disability Rate-Asian,Disability Rate-American Indian/Alaskan Native,Disability Rate-Native Hawaiian Pacific Islander,Disability Rate-Other race,Disability Rate-Two or more races,Disability Rate- Hispanic (of any race),,,,
0500000US06089,Shasta,California,,Metropolitan,177505,223,31573,1184,17.8,0.7,18.2,17.4,3.2,5.9,7.3,10.1,4.1,9.2,26.9,4.2,68.9,35,22.7,20.9,18,13,23.2,4.8,12.7,16.3,12.6,,,,
0500000US06091,Sierra,California,,Non core,2858,183,393,175,13.8,6.2,8.8,19.1,4.5,6.7,1.9,10.7,6.3,10.2,10.8,1.6,87.6,8.8,42.7,50,13.9,,17.9,,0,3.6,12.8,,,,
0500000US06093,Siskiyou,California,,Non core,43402,89,8370,481,19.3,1.1,20.5,18.1,3.1,6.8,8.2,11,3.8,9,21.2,5.6,73.2,40,25.7,25.9,19.1,16.7,25.2,5.7,20,18.3,13.3,,,,
0500000US06095,Solano,California,,Metropolitan,422306,591,51951,1312,12.3,0.3,12.3,12.3,1.9,3.4,4.7,6.9,2.7,5.9,33.6,6.7,59.6,27.5,15.3,16.1,13.2,10.6,18.6,12.1,6.2,9.3,7.6,,,,
0500000US06097,Sonoma,California,,Metropolitan,496690,443,59663,1510,12,0.3,12,12.1,1.9,3.9,4.7,6.1,2.6,5.5,40.3,5.4,54.3,29,17,17.4,12.9,9.6,13.5,10,7.5,10.7,8.6,,,,
0500000US06099,Stanislaus,California,,Metropolitan,532471,340,70689,1926,13.3,0.4,12.9,13.6,2.7,3.9,5.5,7.3,3,6.9,30.4,7.8,61.8,32,22.5,17.8,13.6,10.7,20.7,11,11.3,11.8,9.4,,,,
0500000US06101,Sutter,California,,Metropolitan,94357,314,13025,692,13.8,0.7,13.1,14.5,2.6,4.2,5.2,7.9,2.8,6.1,34.3,5,60.7,31,17.7,13.7,15,9.7,27.9,8.2,12.7,10.2,8.9,,,,
0500000US06103,Tehama,California,,Micropolitan,62714,181,12940,986,20.6,1.6,23.7,17.7,4.5,6.9,8.9,11.4,4.3,9.4,28.6,5.6,65.8,43.4,25.9,5.2,21.2,13.6,25.7,0,11.2,22.2,13.6,,,,
0500000US06105,Trinity,California,,Non core,12863,61,2987,310,23.2,2.4,26.2,20.3,4.4,12,6.5,11.9,2.9,8.7,31.2,6.7,62.1,49.3,20.5,5.2,23.5,24.5,32.4,0,10.9,24,14.4,,,,
0500000US06107,Tulare,California,,Metropolitan,454868,410,56061,1463,12.3,0.3,12.5,12.1,2.9,3.3,4.9,7.4,2.6,6.9,31.6,5.3,63.1,36.4,28,21.6,12.2,15.5,21.5,1.7,10.5,11.8,9.4,,,,
