,variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
0,subject_race_black,0.1782519767387608,1.1951264273569107,1.1800294306027852,1.2104165712521862,2.882444509721899e-166,0.1449281068607979,1.1559564619417682,1.1403242564879918,1.1718029624488673,1.170926566759981e-96,0.20910285530555467,1.2325717685565312,1.215022976427096,1.250374021000032,1.1895111179139287e-179,0.22108402420849743,1.2474282403312755,1.2294764869079555,1.2656421097481938,2.4225494904716456e-196,0.22393706145714606,1.2509922813192496,1.232657302889604,1.2695999806691602,3.47439674327428e-194,0.26206157037017236,1.299606557222893,1.280423636384126,1.3190768707975091,2.0077122346273976e-261,0.23742032234240804,1.2679739635704228,1.2488105204309143,1.2874314765843862,4.670463232871895e-205,0.2842639361564448,1.3287835985095466,1.30752245627464,1.350390460366295,1.920282402302969e-261,0.3097324914218896,1.3630604349981092,1.3398858084267018,1.3866358892470299,1.6321601237833854e-274,0.29637946152637007,1.3449804283380027,1.3213008169057585,1.369084412472063,1.420676364507613e-234,0.27118782693339943,1.311521386291558,1.2896164215321548,1.3337984209727607,1.427169154350796e-218,0.25651548763712834,1.2924187821577922,1.2718250394187542,1.313345984474097,4.644788327521747e-215
1,subject_race_hispanic,0.2665889727008102,1.305503738361736,1.292897564651372,1.3182328263848506,0.0,0.28416562253323574,1.3286529674010303,1.3154266538573245,1.3420122684962987,0.0,-0.032253175543192646,0.9682614109361722,0.9568820279662161,0.9797761192158243,8.930422482037843e-08,0.3103663332464814,1.363924673577602,1.3511932004125178,1.3767761076845442,0.0,0.3346915294868595,1.3975092283375092,1.38400529257227,1.4111449239176355,0.0,0.37250251596848716,1.451362130719944,1.4371758368593381,1.4656884568078794,0.0,0.45535818314260573,1.5767380428894016,1.5610175362106655,1.5926168657462096,0.0,0.44097920345324276,1.5542283794230405,1.537989939047026,1.570638268869787,0.0,0.3120680205964017,1.3662476228470117,1.351298423210104,1.3813622031029935,0.0,0.26023479079422274,1.2972346296614183,1.2827698645668197,1.3118625022899724,0.0,0.2866175857574967,1.331914772894262,1.3178574619523515,1.346122030242838,0.0,0.25724726616309695,1.2933648925985655,1.2805220968847295,1.3063364931195567,0.0
2,subject_race_asian/pacific islander,0.8061017088406429,2.2391620450342202,2.1674657748266712,2.3132299121644864,0.0,0.729179190874123,2.0733780614027593,2.0055648025425787,2.14348425942472,0.0,0.702776861103563,2.019352390208397,1.9573168020907346,2.083354146597334,0.0,0.7777136528086265,2.1764903598640912,2.115415805280574,2.23932820902462,0.0,0.7469261871015244,2.1105027454691543,2.051964019886263,2.170711472260477,0.0,0.7625396219823215,2.143713535230267,2.086344566276196,2.2026599994131,0.0,0.7934673536245918,2.211049641374929,2.150946206876623,2.2728325334193813,0.0,0.8365497522193289,2.3083887081765866,2.2423333453401826,2.3763899507228543,0.0,0.7775599993340977,2.176155960249509,2.1089402222265488,2.2455139853749464,0.0,0.7824482171467206,2.18681952626058,2.1180920987021206,2.257777007602676,0.0,0.7107519521037075,2.0355212978386126,1.9688062032177307,2.104497104480312,0.0,0.642747184694161,1.9016980255002744,1.844223415724513,1.960963812386526,0.0
3,holiday,0.09464844622511502,1.0992723338499855,1.0911911090580282,1.1074134071813928,1.7575792805223218e-139,0.05500805251241415,1.0565491225161647,1.0483738366873403,1.0647881597436257,8.426928097268137e-44,0.12601075178990181,1.13429436391215,1.1251497550135359,1.1435132952478764,1.849014325635007e-204,0.056580398411548743,1.0582116899191798,1.0495103177063037,1.0669852042321475,3.981892934879581e-41,0.05577687912876339,1.0573617379431925,1.048390567332804,1.0664096756522448,1.1131361992485337e-37,0.044324731550890235,1.0453217487321618,1.0363224672750142,1.0543991787090052,9.417981451832393e-24,0.048557800709086905,1.0497560467106506,1.0404862789176765,1.059108399537831,7.35505987342134e-27,0.010184972682207458,1.0102370160531824,1.0008704511691278,1.0196912371744902,0.032110093016424604,-0.01364959940413303,0.9864431339738389,0.9766287597863534,0.9963561351367506,0.007461373136243504,0.0645222948423566,1.0666493587588597,1.0556037199913944,1.0778105770127089,5.827486280914976e-34,0.04879570820745137,1.050005821256057,1.0397539475201971,1.0603587774791212,1.8922954719554773e-22,0.03922417542026642,1.040003600763898,1.0303495309645458,1.0497481263366453,1.674807674582903e-16
4,county_type_Non core,-0.17385134541757272,0.840421820927846,0.8334164736996982,0.8474860521489739,0.0,-0.18790356259892443,0.8286946205347928,0.8213736918489408,0.8360808008805837,0.0,-0.3319430349841757,0.7175281956952934,0.7109497562601227,0.7241675056280219,0.0,-0.2333565881050886,0.7918711513397803,0.7843914674868698,0.7994221588529526,0.0,-0.13411467359691434,0.8744897779650251,0.8660046601474158,0.8830580330077463,4.4595621765030154e-160,-0.1680696037076356,0.8452949969711859,0.8369210845908697,0.8537526955170611,4.5752008286456885e-240,-0.08952874555252843,0.914361980906177,0.9051583485863952,0.9236591955787152,2.1514256478792084e-67,-0.10068170221693706,0.9042207985614278,0.8945810031873862,0.9139644701127213,1.0700565752166533e-75,-0.19834709397409256,0.8200851571162746,0.8107974139830042,0.8294792920201921,2.5407219716331534e-255,-0.13533069689490512,0.8734270243187208,0.8632021211557336,0.8837730447057394,2.3824877007956667e-112,-0.20060868357217918,0.8182325567558856,0.8090994756155099,0.8274687317353138,8.273652269138639e-269,-0.3040638012466014,0.7378137915092292,0.7299448865340755,0.7457675243483083,0.0
5,county_type_Micropolitan,-0.3647541869503849,0.6943673144485707,0.6873496500010902,0.701456627458464,0.0,-0.3238123468197584,0.7233859753228964,0.7157189962749066,0.7311350851624794,0.0,-0.4765983615774488,0.6208918532455587,0.6139313047800617,0.6279313180890989,0.0,-0.4187090168474469,0.6578956039550045,0.6502896590920537,0.6655905097855016,0.0,-0.28618595573805017,0.7511229273410196,0.7422259792057492,0.7601265218189662,0.0,-0.39154097045107616,0.6760143533143311,0.6678192853461911,0.6843099861216069,0.0,-0.35197139032733354,0.7033002428782483,0.6947819970778886,0.7119229250511977,0.0,-0.3630859974184732,0.6955266174335396,0.6866674234507054,0.7045001102972369,0.0,-0.5597513389432744,0.5713511189592977,0.56351839360538,0.5792927166892835,0.0,-0.5856015549549187,0.5567708327998707,0.5488269270030354,0.5648297213648688,0.0,-0.5389907237283087,0.583336703262288,0.5756481455660558,0.5911279520205929,0.0,-0.5882441198440439,0.5553014720414633,0.5482166214536918,0.562477883347912,0.0
6,const,-0.492154187215988,0.6113081026710464,0.6074596388419614,0.6151809478300121,0.0,-0.5089970691644505,0.6010981364561806,0.5970303189569339,0.6051936696989696,0.0,-0.6830583795071132,0.5050699322924879,0.5015241293515752,0.5086408042535332,0.0,-0.847048065954322,0.42867849670033237,0.4255217785886009,0.4318586328125948,0.0,-1.036673573982387,0.3546323804864599,0.3519198650415067,0.3573658033616835,0.0,-1.0609912963977979,0.3461125401026611,0.3434800530443883,0.3487652029704186,0.0,-1.0348032557036169,0.3552962765648821,0.352591754069426,0.3580215438504361,0.0,-0.9831302411500955,0.3741381214145837,0.37109716856274233,0.3772039933308387,0.0,-0.8373141568967999,0.43287158868259257,0.4291120093559159,0.4366641068140694,0.0,-0.8937989307680959,0.4090986594955076,0.4053626155775338,0.4128691368407898,0.0,-0.8582225115238731,0.42391491692180616,0.42013953430785317,0.4277242252026337,0.0,-0.8314855375910222,0.43540199961856846,0.4317583698925726,0.4390763781117127,0.0
