violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year,rate_white,rate_hispanic,rate_black,rate_asian/pacific islander,discrepancy
Disregard Stop Sign (#),11674,3924,0.3361,2703,905,219,42,52,3,7907,2953,602,87,114,11,2007,0.3418,0.3065,0.3638,0.4828,0.1763
Fail To Drive In Single Lane (#),9808,1795,0.183,1310,261,174,35,13,2,5798,2793,990,122,96,9,2007,0.2259,0.0934,0.1758,0.2869,0.1935
"Ride, Not Secured By Safety Belt-Passenger (When Required)",10339,10326,0.9987,5545,3841,813,59,64,4,5550,3847,815,59,64,4,2007,0.9991,0.9984,0.9975,1.0,0.0024999999999999467
Fail to Move Over or Slow Down for Certain Vehicles,8999,1249,0.1388,850,248,111,28,12,0,5803,1809,1009,214,158,6,2007,0.1465,0.1371,0.11,0.1308,0.03649999999999999
Inoperable/Obscured Stop Lamp(s) (#),10571,67,0.0063,42,18,6,1,0,0,6924,2344,1068,136,95,4,2007,0.0061,0.0077,0.0056,0.0074,0.0021000000000000003
Use Of Vision Reducing Matter On Windows - Glass Coating Material,9914,2143,0.2162,985,1022,126,2,7,1,3707,5617,511,27,49,3,2007,0.2657,0.1819,0.2466,0.0741,0.1916
Unsafe Speed (#),9873,9711,0.9836,7189,1500,788,135,95,4,7260,1579,798,137,95,4,2007,0.9902,0.95,0.9875,0.9854,0.040200000000000014
Fail To Control Speed (#),7760,7741,0.9976,5791,1054,705,116,70,5,5802,1058,708,117,70,5,2007,0.9981,0.9962,0.9958,0.9915,0.006599999999999939
Drive in Left Lane When Not Passing or Where Prohibited,5471,82,0.015,63,9,7,3,0,0,3321,879,1135,81,49,6,2007,0.019,0.0102,0.0062,0.037,0.030799999999999998
Speeding Over Limit (#),790504,1889,0.0024,1314,251,127,38,158,1,581980,110359,58034,8448,30746,937,2008,0.0023,0.0023,0.0022,0.0045,0.0022999999999999995
Speeding-10% or More Above Posted Speed (#),350232,345571,0.9867,246316,44729,31479,7560,15043,444,249802,45324,31766,7616,15277,447,2008,0.986,0.9869,0.991,0.9926,0.00660000000000005
No/Improper License Plate Lamp,76876,18,0.0002,11,4,3,0,0,0,51111,15315,6835,584,2946,85,2008,0.0002,0.0003,0.0004,0.0,0.0004
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",46943,46788,0.9967,34452,5856,4862,291,1275,52,34555,5884,4884,293,1275,52,2008,0.997,0.9952,0.9955,0.9932,0.0038000000000000256
Operate Motor Vehicle Without License Plates (Or With One Plate),70622,660,0.0093,513,67,51,22,7,0,52850,10085,5215,902,1516,54,2008,0.0097,0.0066,0.0098,0.0244,0.017800000000000003
No/Non-Compliant Head Lamps (#),40488,74,0.0018,52,15,5,1,1,0,27758,5985,4478,641,1583,43,2008,0.0019,0.0025,0.0011,0.0016,0.0014
Improperly Placed Or Obstructed License Plate (#),24134,46,0.0019,36,7,3,0,0,0,14859,5588,2437,187,1025,38,2008,0.0024,0.0013,0.0012,0.0,0.0024
Display Expired License Plates/Registration (#),16462,4090,0.2485,3186,461,331,30,80,2,11954,2646,1293,152,408,9,2008,0.2665,0.1742,0.256,0.1974,0.09230000000000002
No/Improper Mud Flap,21367,413,0.0193,292,50,59,3,9,0,13258,4070,2618,180,1227,14,2008,0.022,0.0123,0.0225,0.0167,0.010199999999999999
No/Improper Tail Lamp - not Motorcycle,17125,160,0.0093,109,31,14,1,4,1,12174,3005,1335,140,456,15,2008,0.009,0.0103,0.0105,0.0071,0.0034000000000000002
Following Too Closely,18180,722,0.0397,537,71,71,20,22,1,10931,3418,2697,185,924,25,2008,0.0491,0.0208,0.0263,0.1081,0.0873
Drive On Improved Shoulder When Prohibited,15467,430,0.0278,313,57,47,3,9,1,9821,3766,1190,138,543,9,2008,0.0319,0.0151,0.0395,0.0217,0.024399999999999998
Fail To Signal Lane Change,14851,247,0.0166,187,29,21,9,1,0,10284,2402,1333,221,594,17,2008,0.0182,0.0121,0.0158,0.0407,0.0286
Disregard Stop Sign (#),11950,3770,0.3155,2853,575,208,42,90,2,8984,1919,646,102,285,14,2008,0.3176,0.2996,0.322,0.4118,0.11220000000000002
Fail To Drive In Single Lane (#),9183,1820,0.1982,1394,172,188,30,32,4,5889,1924,914,121,325,10,2008,0.2367,0.0894,0.2057,0.2479,0.15850000000000003
"Ride, Not Secured By Safety Belt-Passenger (When Required)",10016,9988,0.9972,6567,2146,846,49,370,10,6585,2151,850,49,371,10,2008,0.9973,0.9977,0.9953,1.0,0.0047000000000000375
Fail to Move Over or Slow Down for Certain Vehicles,9158,1144,0.1249,806,141,93,43,58,3,6061,1454,902,230,502,9,2008,0.133,0.097,0.1031,0.187,0.09
Inoperable/Obscured Stop Lamp(s) (#),12239,71,0.0058,40,16,10,1,4,0,8703,1901,1116,140,371,8,2008,0.0046,0.0084,0.009,0.0071,0.004399999999999999
Use Of Vision Reducing Matter On Windows - Glass Coating Material,10646,1771,0.1664,1072,539,81,2,75,2,5796,4011,425,25,379,10,2008,0.185,0.1344,0.1906,0.08,0.11059999999999999
Unsafe Speed (#),8187,8005,0.9778,6213,830,709,108,142,3,6328,882,718,108,147,4,2008,0.9818,0.941,0.9875,1.0,0.05900000000000005
Fail To Control Speed (#),6976,6911,0.9907,5423,655,591,113,124,5,5468,663,601,113,126,5,2008,0.9918,0.9879,0.9834,1.0,0.016599999999999948
Drive in Left Lane When Not Passing or Where Prohibited,10194,78,0.0077,60,7,8,2,1,0,6390,1527,1386,139,731,21,2008,0.0094,0.0046,0.0058,0.0144,0.0098
Speeding Over Limit (#),782255,1248,0.0016,559,496,83,21,89,0,493720,186649,64600,10637,25735,914,2009,0.0011,0.0027,0.0013,0.002,0.0016
Speeding-10% or More Above Posted Speed (#),333230,325792,0.9777,180346,94724,30247,8862,11193,420,184294,97334,30803,8963,11408,428,2009,0.9786,0.9732,0.9819,0.9887,0.01550000000000007
No/Improper License Plate Lamp,74223,25,0.0003,13,8,4,0,0,0,38405,24894,7891,734,2208,91,2009,0.0003,0.0003,0.0005,0.0,0.0005
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",43506,41197,0.9469,24180,10987,4357,363,1273,37,25673,11472,4622,378,1324,37,2009,0.9418,0.9577,0.9427,0.9603,0.018500000000000072
Operate Motor Vehicle Without License Plates (Or With One Plate),68276,873,0.0128,580,186,64,24,17,2,43147,16670,6050,1366,971,72,2009,0.0134,0.0112,0.0106,0.0176,0.007000000000000001
No/Non-Compliant Head Lamps (#),43113,61,0.0014,25,21,8,1,6,0,24660,11130,4758,890,1622,53,2009,0.001,0.0019,0.0017,0.0011,0.0009
Improperly Placed Or Obstructed License Plate (#),22686,88,0.0039,59,22,5,0,2,0,9362,9692,2618,266,726,22,2009,0.0063,0.0023,0.0019,0.0,0.0063
Display Expired License Plates/Registration (#),16125,4784,0.2967,2930,1380,354,45,68,7,9132,5208,1336,177,258,14,2009,0.3208,0.265,0.265,0.2542,0.06659999999999999
No/Improper Mud Flap,17760,247,0.0139,111,84,32,1,19,0,8539,5888,2252,99,960,22,2009,0.013,0.0143,0.0142,0.0101,0.004200000000000001
No/Improper Tail Lamp - not Motorcycle,16855,136,0.0081,67,54,9,0,5,1,10173,4670,1343,206,450,13,2009,0.0066,0.0116,0.0067,0.0,0.0116
Following Too Closely,20928,693,0.0331,410,184,67,17,15,0,8748,7370,3606,259,909,36,2009,0.0469,0.025,0.0186,0.0656,0.04700000000000001
Drive On Improved Shoulder When Prohibited,17906,326,0.0182,188,77,43,5,12,1,7510,7949,1713,179,530,25,2009,0.025,0.0097,0.0251,0.0279,0.0182
Fail To Signal Lane Change,16493,194,0.0118,99,58,25,9,3,0,8768,4887,1897,289,637,15,2009,0.0113,0.0119,0.0132,0.0311,0.019799999999999998
Disregard Stop Sign (#),12150,3250,0.2675,1783,1153,194,69,48,3,6796,4296,708,164,175,11,2009,0.2624,0.2684,0.274,0.4207,0.1583
Fail To Drive In Single Lane (#),7607,1149,0.151,742,214,123,36,32,2,3655,2731,871,145,198,7,2009,0.203,0.0784,0.1412,0.2483,0.1699
"Ride, Not Secured By Safety Belt-Passenger (When Required)",13321,11167,0.8383,4972,4804,1008,69,304,10,5809,5780,1240,110,371,11,2009,0.8559,0.8311,0.8129,0.6273,0.22860000000000003
